label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,rotation,yflip,dac_threshold,soxn_threshold
1,1.5,179.0854271356784,814.2839195979899,510.0,1.3833690811625867,15550.62311557789,7388.040201005025,35993.31155778895,Bi_3,Bi OE,-0.7725886651904373,0.6945728808729189,-42.23776261648297,85,True,17500,30000
2,4.196188340807175,89.47309417040358,580.5011210762332,1175.0,1.503918630023761,7720.412556053811,6840.526905829596,42549.37668161435,Bi_3,Bi OE,-0.17094384195509915,0.8494589132683856,-43.32923850885797,85,True,17500,30000
3,12.473182359952323,67.89153754469606,655.7473182359952,1375.0,1.3076692745791034,7839.769964243146,5319.42431466031,21551.32061978546,Bi_3,Bi OE,-0.3560360266574213,0.9040959657826318,-33.44498671203067,85,True,17500,30000
4,10.90053050397878,100.93103448275862,500.82228116710877,1019.0,1.4828447378800682,5194.302387267904,5854.823607427055,35990.06896551724,Bi_3,Bi OE,0.02761364414800349,0.8149664152676439,-38.24198447870304,85,True,17500,30000
5,13.471984179301252,90.52274225444957,528.3111404087014,1814.0,1.3592851365851437,9192.98286090969,6118.051417270929,35021.38497033619,Bi_3,Bi OE,-0.039618437373233006,0.8401738018784028,-35.0637450040228,85,True,17500,30000
6,13.87608069164265,108.61311239193084,641.078530259366,1763.0,1.1534060706861182,11341.131844380403,6118.917146974063,34188.26729106628,Bi_3,Bi OE,-0.32569682194730776,0.8176006686997428,-32.63854413960229,85,True,17500,30000
7,15.701277068295392,98.30316490838423,611.1637978900611,2316.0,1.349095310658921,10752.83842309828,6800.863409217101,34968.12826207662,Bi_3,Bi OE,-0.24882767545070295,0.8349912466142283,-31.307280953754887,85,True,17500,30000
8,15.050303555941023,143.69557675628795,547.1578490893322,1376.0,1.4963763301845814,8899.977450130096,7466.1960104076325,33531.494362532525,Bi_3,Bi OE,-0.09544192522660389,0.7322846592817516,-33.535934097886134,85,True,17500,30000
9,16.610634648370496,731.0703259005146,551.778730703259,986.0,1.4304790976103836,7333.727272727273,10414.337907375642,9965.73756432247,Bi_3,Bi OE,-0.2016368063310331,-0.4862654895751988,-36.43148854571048,85,True,17500,30000
10,18.184190330007674,923.1227935533384,630.0191864927091,1859.0,1.5955153449367703,15274.941673062165,7077.494244052187,2856.2302379125094,Bi_3,Bi OE,-0.4289927650036538,-0.8745174005259315,-34.84459727524596,85,True,17500,30000
11,16.764607679465776,93.61602671118531,674.6844741235392,1113.0,1.330490347939598,7479.315525876461,6855.7829716193655,39365.24373956594,Bi_3,Bi OE,-0.40753572560813767,0.8531392075948708,-28.990567221242323,85,True,17500,30000
12,18.080945558739256,93.42765042979943,655.1640401146132,1726.0,1.2998120778230864,7233.621776504298,4424.068767908309,4842.156876790831,Bi_3,Bi OE,-0.3584238719671655,0.8509122395323401,-28.047154704200395,85,True,17500,30000
13,17.806184012066364,103.74660633484163,665.9064856711916,1943.0,1.3062348059979247,8292.260180995476,6197.033936651584,30534.91628959276,Bi_3,Bi OE,-0.3870762678669877,0.8309269070808445,-28.19581334504375,85,True,17500,30000
14,26.291222570532916,739.2915360501568,548.8426332288401,4682.0,1.5855551422194694,9506.813479623825,8873.531661442006,4853.061755485894,Bi_3,Bi OE,-0.19513472127182607,-0.5038993703311316,-26.872839242886403,85,True,17500,30000
15,18.783382789317507,821.7734209410768,528.5055108096651,5730.0,1.3254426420362149,18001.986222975836,8183.71386180585,3968.09940652819,Bi_3,Bi OE,-0.15770928536502404,-0.6776582285983439,-35.40693343339619,85,True,17500,30000
16,19.086870026525197,83.43766578249337,734.3832891246684,2186.0,1.410795507149656,7675.992042440318,4763.824270557029,9226.436339522546,Bi_3,Bi OE,-0.5557022846919366,0.8821533702095266,-25.445953365623623,85,True,17500,30000
17,18.31359649122807,107.36184210526316,726.4035087719299,648.0,1.4521266908279027,7588.857456140351,5542.199561403509,29706.861842105263,Bi_3,Bi OE,-0.5395554275747044,0.8314513683774246,-26.557075835072666,85,True,17500,30000
18,17.163171690694625,824.7136304062909,585.7601572739187,1844.0,1.5048961638864762,13020.804062909567,10307.853211009175,4089.756880733945,Bi_3,Bi OE,-0.302037151898608,-0.676123894533704,-35.95228174509244,85,True,17500,30000
19,18.93075684380032,66.59903381642512,562.7721417069243,1543.0,1.1904739580237473,9941.125603864733,7304.623188405797,35229.626409017714,Bi_3,Bi OE,-0.12204539001241566,0.8943059115895606,-28.760625473614837,85,True,17500,30000
20,23.159171298635673,96.81101566447701,713.8408287013643,2751.0,1.4579503389247994,10962.732187973725,5712.399696816574,8672.44466902476,Bi_3,Bi OE,-0.5060803612157161,0.8515910783873191,-21.871670476925665,85,True,17500,30000
