label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,rotation,yflip,dac_threshold,soxn_threshold
1,14.938576779026217,463.5048689138577,712.3737827715356,1965.0,1.735269530325549,46466.995505617975,21573.58576779026,21256.131835205993,LacZ_3,LacZ OE,0.4882569701389454,-0.3850794034261451,-24.918038405214148,-75,True,17500,30000
2,13.09102482495226,480.87396562698916,711.457670273711,1976.0,1.5494877510789153,35835.357097390195,20689.674729471673,19177.529598981542,LacZ_3,LacZ OE,0.49565100176657784,-0.34051675351902233,-27.034266551093452,-75,True,17500,30000
3,14.473356009070296,411.81972789115645,726.5277777777778,2163.0,1.6817383580453538,56630.76190476191,21311.506235827663,22010.80498866213,LacZ_3,LacZ OE,0.49503302876917776,-0.5244044628871078,-24.26394745909357,-75,True,17500,30000
4,14.703812316715542,466.6275659824047,757.8673020527859,1753.0,1.7168405987535094,51427.7866568915,25465.359237536657,62688.111436950145,LacZ_3,LacZ OE,0.6031003386959286,-0.402689455148713,-23.934915781700134,-75,True,17500,30000
5,15.55887801005557,349.9412543000794,642.6824556761048,4377.0,1.612756290955462,63006.0105848108,33402.08097380259,13651.39296110082,LacZ_3,LacZ OE,0.2524488682117678,-0.634551751239296,-24.634384529057744,-75,True,17500,30000
6,15.077702702702704,432.75405405405405,727.6608108108109,1804.0,1.486427535761076,49811.78783783784,22259.386486486488,64881.84256756757,LacZ_3,LacZ OE,0.5093337065213996,-0.47180514747263547,-23.92275107885735,-75,True,17500,30000
7,15.353658536585366,195.29268292682926,518.7585365853658,1150.0,1.8370535368704832,23546.121951219513,22757.881707317072,7793.2878048780485,LacZ_3,LacZ OE,-0.1407571021844588,-0.9580439058325956,-26.102338663172894,-75,True,17500,30000
8,15.715241635687732,281.18736059479556,654.014126394052,1571.0,1.6783720610874404,54585.78141263941,28971.77843866171,62649.40223048327,LacZ_3,LacZ OE,0.24277639463935552,-0.8156407703470687,-23.197340245806313,-75,True,17500,30000
9,16.107744107744107,328.6121212121212,658.0148148148148,1840.0,1.653235561175027,56644.46195286195,28434.179124579125,62992.21346801347,LacZ_3,LacZ OE,0.2787981805828157,-0.6973368636561834,-23.360741546543753,-75,True,17500,30000
10,16.06255969436485,333.1986628462273,608.5138490926456,2493.0,1.5631471125278724,59044.750716332375,49459.16809933142,12542.647086914994,LacZ_3,LacZ OE,0.15825081516510453,-0.6578990038912116,-24.843187306244594,-75,True,17500,30000
11,15.73611111111111,395.0529100529101,694.199074074074,1976.0,1.874625587333803,41016.65873015873,29788.219576719577,59458.017857142855,LacZ_3,LacZ OE,0.40534970219147315,-0.5488070210419589,-23.662677288864817,-75,True,17500,30000
12,17.16323417238749,411.8886346300534,754.9855072463768,1709.0,1.9581450554947126,49655.52250190694,21833.382913806254,11672.60945842868,LacZ_3,LacZ OE,0.565660634701036,-0.5400638581604649,-20.78712113115038,-75,True,17500,30000
13,17.827076923076923,462.9476923076923,735.7803076923077,2052.0,1.9605615494084885,40438.161230769234,21230.68123076923,16218.203692307692,LacZ_3,LacZ OE,0.5459690577636804,-0.39948468138201254,-21.3739699689456,-75,True,17500,30000
14,18.047897196261683,375.80607476635515,720.561331775701,2149.0,1.6329134532715432,54677.036214953274,24028.50058411215,17855.864485981307,LacZ_3,LacZ OE,0.4601606059549872,-0.6124003253093129,-20.350346351102537,-75,True,17500,30000
15,18.69964243146603,388.7300357568534,809.5178784266984,2030.0,1.8221850190296105,49774.88438617402,29410.509535160905,58553.52800953516,LacZ_3,LacZ OE,0.6884056253108894,-0.6294497608818137,-17.413563367749568,-75,True,17500,30000
16,16.648628048780488,417.2050304878049,767.702743902439,1678.0,1.8421979845214873,48889.76829268293,21907.98856707317,65303.52667682927,LacZ_3,LacZ OE,0.6002367399845825,-0.5337165766738026,-21.023526002186415,-75,True,17500,30000
17,17.55739514348786,928.4144591611479,473.8051876379691,2273.0,1.6410463420694743,55098.182671081675,21792.76821192053,18144.44812362031,LacZ_3,LacZ OE,0.1507939240228282,0.9305171342356587,-35.4520837264203,-75,True,17500,30000
18,16.26982097186701,951.730179028133,500.36572890025576,997.0,1.7096955353971026,30660.771099744245,17664.040920716114,11645.213554987213,LacZ_3,LacZ OE,0.229741401841294,0.9747998589766853,-36.330189235560965,-75,True,17500,30000
19,17.885354141656663,566.3529411764706,714.4753901560624,2030.0,1.489201914914201,25877.29231692677,21666.4243697479,10530.49399759904,LacZ_3,LacZ OE,0.5499013334374643,-0.12472108771119994,-23.36017006128465,-75,True,17500,30000
20,19.129515131793035,712.6570126911813,549.3439635535308,3574.0,1.4669915627608014,56873.326391148716,21665.303612105436,11567.881874389846,LacZ_3,LacZ OE,0.21977343860501297,0.3398559550074697,-28.752838173349268,-75,True,17500,30000
21,18.0629779577148,740.6774628879892,511.91138101664416,2579.0,1.5318776602184934,54567.29149797571,25256.224921277553,11894.152046783625,LacZ_3,LacZ OE,0.1421904472472184,0.4320246338493541,-31.250868721130686,-75,True,17500,30000
22,17.960954446854664,752.0394793926247,538.8997830802602,2683.0,1.717193199128138,58593.816052060734,23831.937093275486,21448.15054229935,LacZ_3,LacZ OE,0.2155507118491955,0.4457479117467765,-30.764093892180608,-75,True,17500,30000
23,17.754789272030653,886.3234811165846,473.33716475095787,2386.0,1.838899426867166,55085.09140667762,21253.583470169677,16139.431855500821,LacZ_3,LacZ OE,0.12645457367999935,0.8238164292868481,-34.676078407902764,-75,True,17500,30000
24,16.758503401360546,900.968537414966,484.1045918367347,1480.0,1.723462953478401,58871.462585034016,19292.884353741498,12754.017857142857,LacZ_3,LacZ OE,0.16134614252314905,0.8549420039419681,-35.57914010290306,-75,True,17500,30000
25,18.79207459207459,911.709090909091,502.4018648018648,2820.0,1.5759737911122018,59183.188344988346,18728.036363636365,10225.907226107227,LacZ_3,LacZ OE,0.21262485823975497,0.8720735329530246,-33.190097793684586,-75,True,17500,30000
26,19.394768133174793,955.1242568370986,471.1218787158145,2620.0,1.3979625690616693,33711.51664684899,17254.158145065398,10869.89239001189,LacZ_3,LacZ OE,0.15870888839302943,1.0,-34.0654833272811,-75,True,17500,30000
27,17.878006872852232,212.5189003436426,453.46048109965636,783.0,1.3688516051602015,18835.60996563574,18905.768041237112,7167.2749140893475,LacZ_3,LacZ OE,-0.29378223342402443,-0.8774841776870588,-25.632274130351895,-75,True,17500,30000
28,19.987068965517242,309.55431034482757,658.7887931034483,1448.0,1.5971373309099646,52662.16293103448,27074.385344827588,11050.949137931035,LacZ_3,LacZ OE,0.2699969852716717,-0.7460073119675465,-19.19392582859092,-75,True,17500,30000
29,20.22222222222222,502.7437908496732,747.8928104575164,1706.0,1.881861475076535,28216.84705882353,18881.725490196077,9775.822222222223,LacZ_3,LacZ OE,0.5978383621106507,-0.3050190662158445,-19.203493455954742,-75,True,17500,30000
30,19.322330097087377,788.7791262135922,464.9859223300971,2572.0,1.7959479561464888,44103.54514563107,24053.117961165048,24799.873300970874,LacZ_3,LacZ OE,0.05191401942665763,0.5806768365581018,-31.969688120984316,-75,True,17500,30000
