label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,in_plane,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,3.1028396009209516,188.8073676132003,486.9470452801228,1517.0,1.3835517752539876,503.6415963161934,855.3399846508058,108.96085955487337,False,Bi_3_b2,Bi OE,0.22893282382948565,0.8788641573460203,-52.67405109359767,-75,750
2,10.079891672308733,260.85172647257957,604.7156398104265,1741.0,1.3544181342578447,872.7603249830738,1047.9986459038591,1334.4800270819228,False,Bi_3_b2,Bi OE,0.527532298754466,0.5535786615354852,-43.74211790161636,-75,750
3,10.283003300330034,638.0107260726072,740.4199669966997,1403.0,1.5212503512203266,419.67739273927396,813.1320132013201,571.414191419142,False,Bi_3_b2,Bi OE,0.591274196930367,-0.7018974558492476,-55.52435040192226,-75,750
4,12.443283582089553,222.88880597014926,533.3529850746269,1707.0,1.5303593884204212,732.9634328358209,802.3388059701492,327.6611940298507,False,Bi_3_b2,Bi OE,0.3398725531624005,0.7329511731986154,-42.85404886082365,-75,750
5,12.677637947725072,347.2642787996128,717.8973862536302,1406.0,1.2762374636743825,457.9273959341723,908.7144240077445,203.8702807357212,False,Bi_3_b2,Bi OE,0.7988355142429622,0.1899183284723278,-40.08872189151235,-75,750
6,13.723529411764705,250.61102941176472,626.5330882352941,1733.0,1.4232852420667548,1941.6933823529412,939.114705882353,2457.0154411764706,False,Bi_3_b2,Bi OE,0.6049988886073516,0.5637601652516855,-38.59845841180303,-75,750
7,14.821731748726656,287.94057724957554,665.937181663837,1510.0,1.37050557669156,521.5339558573854,912.6477079796265,2060.6893039049237,False,Bi_3_b2,Bi OE,0.6924734707179387,0.4154209400520772,-37.48430356496621,-75,750
8,16.571150097465885,338.7426900584795,711.7456140350877,1481.0,1.3625158865555254,1059.2573099415204,910.6666666666666,1099.4093567251462,False,Bi_3_b2,Bi OE,0.786978777417844,0.22073191269491121,-36.07630708009442,-75,750
9,18.604181184668988,211.64529616724738,442.6905923344948,1826.0,1.4885667161873293,2676.127526132404,949.7491289198606,2017.8822299651567,False,Bi_3_b2,Bi OE,0.06541474273220982,0.8496732660192112,-40.367123386632215,-75,750
10,19.186113789778208,281.03953712632597,671.2709739633558,1274.0,1.3963553011963457,564.0810028929604,1077.2709739633558,2556.3702989392477,False,Bi_3_b2,Bi OE,0.7149579690028773,0.4307312681584916,-32.54790760906591,-75,750
11,21.69933454325469,240.48880822746523,544.7670901391409,2327.0,1.3217697104785566,1984.9274047186932,836.248033877798,1976.047791893527,False,Bi_3_b2,Bi OE,0.3569904703057345,0.6687263725619625,-33.94243330422651,-75,750
12,20.794444444444444,278.63666666666666,693.5155555555556,1312.0,1.4131430533446991,523.4511111111111,997.1244444444444,408.77666666666664,False,Bi_3_b2,Bi OE,0.7866439383547941,0.4172400084826202,-29.79501944490223,-75,750
13,20.4011544011544,363.4689754689755,785.5151515151515,892.0,1.4830887389022118,466.25396825396825,826.8499278499279,83.02308802308802,False,Bi_3_b2,Bi OE,0.9936720438139817,0.07816868079173123,-30.031784690257147,-75,750
14,21.363636363636363,667.1737012987013,619.4545454545455,1520.0,1.3534414037075158,471.75487012987014,957.838474025974,223.82467532467533,False,Bi_3_b2,Bi OE,0.18221455163312883,-0.678803385572778,-51.49255313186394,-75,750
15,21.55358462675536,207.23281596452327,557.1382113821138,1625.0,1.4116761938818942,745.6127124907613,865.2668144863267,1213.8285291943828,False,Bi_3_b2,Bi OE,0.4276424120559075,0.7569835906396905,-31.90232077811507,-75,750
16,23.388745482705215,277.1992772328343,532.8642230252968,2362.0,1.347718845936485,459.00464636035105,1022.9401135776975,95.77232834279815,False,Bi_3_b2,Bi OE,0.284198928018766,0.5695265659988249,-34.5880648970813,-75,750
17,24.51140544518028,668.3723325974981,714.6497424576895,1735.0,1.4749905394655223,513.551140544518,849.5165562913908,479.58425312729946,False,Bi_3_b2,Bi OE,0.47870948028646554,-0.7705625054669059,-43.99471999126115,-75,750
18,24.594170403587444,197.027466367713,577.8710762331839,2258.0,1.4948924426443797,645.2219730941704,941.3368834080718,1155.2561659192825,False,Bi_3_b2,Bi OE,0.5017930082992719,0.7681219117326397,-27.412371998157113,-75,750
19,28.92352512745812,644.2658412235979,693.3568827385287,1677.0,1.2552976362935553,656.9293517844137,1158.8201019664966,2017.7385287691188,False,Bi_3_b2,Bi OE,0.4342487817439129,-0.6791271121513447,-39.411802994799544,-75,750
20,29.99929478138223,199.44922425952046,567.5077574047955,1766.0,1.3581190541990762,1319.7968970380819,994.648095909732,1953.3018335684062,True,Bi_3_b2,Bi OE,0.4659652970538699,0.7698727585765344,-22.617454164537406,-75,750
21,29.59465478841871,719.1603563474388,717.2093541202672,1657.0,1.266543448815805,505.0556792873051,930.0734966592428,576.5256124721603,False,Bi_3_b2,Bi OE,0.4370881984772528,-0.9256425320681747,-41.265641869807155,-75,750
22,30.8735701384708,717.1065623118603,568.9843467790488,2134.0,1.3829299665680392,544.276941601445,1315.900060204696,194.30885009030703,False,Bi_3_b2,Bi OE,-0.025581480674534585,-0.7828404895734348,-46.764890922999385,-75,750
23,30.407857142857143,744.9635714285714,516.6135714285714,1774.0,1.2641695305960237,511.5935714285714,960.5207142857142,223.63714285714286,False,Bi_3_b2,Bi OE,-0.21626243431914738,-0.8179450333997109,-51.008650657686545,-75,750
24,31.427382753403933,671.5559757942511,694.4848714069592,1634.0,1.304011080815943,759.7450832072617,1048.2102874432678,1419.375189107413,False,Bi_3_b2,Bi OE,0.41115294064768393,-0.7622052550826249,-38.18388279564846,-75,750
25,31.0996192893401,241.74492385786803,516.7385786802031,2059.0,1.3395823892730703,913.6598984771574,943.8071065989848,1667.1199238578681,False,Bi_3_b2,Bi OE,0.2661664564912811,0.6898611721333672,-25.924190545523487,-75,750
26,34.14443676572218,331.4796129923981,652.2100898410505,1770.0,1.3655068865481816,2650.910158949551,1138.8769868693848,2789.313061506565,True,Bi_3_b2,Bi OE,0.6040348318533009,0.295631009788738,-20.95191647755218,-75,750
