label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,in_plane,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,49.15144766146993,384.2867483296214,757.2015590200446,2414.0,1.4483044079075948,1355.3730512249442,2050.139755011136,1778.6998886414253,False,LacZ_3_b3,LacZ OE,-0.7287599310358317,-0.452596958107886,-27.76736978871041,80,750
2,47.809421841541756,388.67558886509636,768.0107066381156,1316.0,1.4267696624222952,1371.7002141327623,1630.3608137044969,2225.5985010706636,False,LacZ_3_b3,LacZ OE,-0.7648124816420458,-0.4353945067211241,-28.99741431604287,80,750
3,46.02315484804631,411.2344428364689,796.9971056439942,935.0,1.506994948993279,2375.603473227207,1791.0347322720695,2057.9464544138928,False,LacZ_3_b3,LacZ OE,-0.8601644951720356,-0.350253346501062,-30.51008058148959,80,750
4,50.30837438423645,415.6049261083744,787.4305418719212,1668.0,1.3261270575840234,1707.2748768472907,2093.1064039408866,1514.9014778325122,False,LacZ_3_b3,LacZ OE,-0.8271739530315294,-0.33561970920179196,-26.344508020353643,80,750
5,52.02072909220872,694.927090779128,728.6776268763402,2175.0,1.614260091084248,3220.288062902073,1524.3709792709078,2268.0285918513223,False,LacZ_3_b3,LacZ OE,-0.5960653032646556,0.6666118710369584,-25.987107527177926,80,750
6,52.868605817452355,393.4172517552658,769.6499498495486,1329.0,1.6249886442927233,1379.60481444333,1824.4764292878635,1697.100300902708,False,LacZ_3_b3,LacZ OE,-0.7696012329496676,-0.41801410494237123,-23.93164151460512,80,750
7,51.70334928229665,265.2334928229665,585.511004784689,1398.0,1.4573321464432452,301.777990430622,2035.6727272727273,155.83732057416267,False,LacZ_3_b3,LacZ OE,-0.16258767592452683,-0.9043140879158135,-26.87137537445188,80,750
8,50.890728476821195,694.1986754966888,388.26490066225165,851.0,1.551669381397689,357.8211920529801,1603.8261589403974,174.9503311258278,False,LacZ_3_b3,LacZ OE,0.5536981505936418,0.6214589288454873,-30.979415689214022,80,750
9,52.11134453781513,300.0451680672269,660.2289915966387,1280.0,1.386054446911446,297.921218487395,1568.795168067227,279.54306722689074,False,LacZ_3_b3,LacZ OE,-0.4109041300798163,-0.7691599512725213,-25.700983590985793,80,750
10,52.97684338817794,301.39488117001827,684.1072516758074,2342.0,1.6861317894371428,348.53869591712373,1576.765996343693,242.1560024375381,False,LacZ_3_b3,LacZ OE,-0.49137247825235886,-0.7612932072913572,-24.567814319037495,80,750
11,54.00635593220339,325.4925847457627,725.6536016949152,1383.0,1.4631192335250165,1758.4533898305085,2439.049788135593,2603.353813559322,False,LacZ_3_b3,LacZ OE,-0.6288629195274276,-0.6690005741872204,-23.126107205485653,80,750
12,52.4760147601476,422.98031980319803,794.4354243542435,1079.0,1.3289718834940971,1421.4428044280444,1934.311193111931,1374.8093480934808,False,LacZ_3_b3,LacZ OE,-0.8498920106393328,-0.30807175966186273,-24.115662256784425,80,750
13,50.752397558849175,577.460331299041,351.60156931124675,1508.0,1.6631807193372232,336.2066259808195,1715.795989537925,201.11508282476024,False,LacZ_3_b3,LacZ OE,0.6639232868011975,0.19495107190586425,-31.246418796862045,80,750
14,51.251577998196574,604.0982867448151,348.1704238052299,1500.0,1.9248313676066027,369.5798016230839,1652.58611361587,185.97565374211,False,LacZ_3_b3,LacZ OE,0.6786396981813134,0.2908040601995192,-30.8518238291773,80,750
15,53.128136200716845,317.51612903225805,657.260752688172,1404.0,1.599136005385222,381.57706093189967,1886.8413978494623,298.93817204301075,False,LacZ_3_b3,LacZ OE,-0.3988005893141111,-0.706377610651604,-24.760981402778235,80,750
16,52.8220640569395,347.3072360616845,737.9039145907474,1048.0,1.4423131988207103,2726.2313167259786,2020.9311981020167,2046.0462633451957,False,LacZ_3_b3,LacZ OE,-0.6677450654280139,-0.5886347383952188,-24.22498498700088,80,750
17,54.38127413127413,703.242277992278,408.7789575289575,1343.0,1.5212682276283118,312.4488416988417,1945.195945945946,155.26737451737452,False,LacZ_3_b3,LacZ OE,0.48559266211593455,0.6567332641099948,-27.278513614491132,80,750
