label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,sample,type,x_std,y_std,z_std,r,theta,rotation
1,5.298265895953757,717.6245664739885,488.93468208092486,3914.0,1.4838786090188965,15674.432369942197,51338.169075144506,Ezi_3,E(z) RNAi,0.05967754272420667,0.5181038583238702,-62.47326391070486,0.5215294978385023,1.456117195139436,90
2,3.6146913023884633,722.6638125281659,552.2000901306895,2639.0,1.4678074634753007,13731.820639927895,46049.42586750789,Ezi_3,E(z) RNAi,-0.0712719284308847,0.5457578256878906,-67.20378241066092,0.5503919440560799,1.7006540291313574,90
3,6.783664459161148,712.082623777988,306.93598233995584,4244.0,1.4786482524559585,8775.991800693788,28888.818353831597,Ezi_3,E(z) RNAi,0.4387469477991943,0.4597090926182743,-51.798274009614424,0.635477249033375,0.8087252284300184,90
4,5.081930415263749,722.1593714927048,323.4040404040404,2540.0,1.51032472776887,14256.90179573513,28145.900673400673,Ezi_3,E(z) RNAi,0.40673049426809715,0.4874249473986454,-53.882738329381226,0.6348328711670047,0.8754009115699699,90
5,5.386574767755469,735.7237039256818,335.1246628708421,4499.0,1.4125062300295852,18860.745579862152,37564.83128558585,Ezi_3,E(z) RNAi,0.385163289527902,0.5218820920321976,-53.55710689926328,0.6486229086178329,0.9350018114787884,90
6,0.9336016096579477,731.1348088531187,398.4366197183099,565.0,1.9187527639355857,8001.625754527163,31230.10060362173,Ezi_3,E(z) RNAi,0.2523376401393407,0.5274064991067018,-61.500139942211526,0.5846639204971338,1.1245368651159293,90
7,2.5540460720614293,739.6491435321914,540.1647962197283,2515.0,1.8953922396826846,12039.68812758417,41892.24217365623,Ezi_3,E(z) RNAi,-0.04226682977557794,0.5823859146879651,-66.84755764956644,0.5839176641669743,1.64324460112108,90
8,2.605286343612335,741.6096916299559,564.9418502202643,1717.0,1.7743015933368622,15286.884581497798,39526.60792951542,Ezi_3,E(z) RNAi,-0.09363886635733909,0.5931181439172082,-67.99194416135462,0.6004642953052927,1.7273795052534957,90
9,1.6785109983079527,745.9492385786803,658.9661590524535,808.0,1.5448099953527,5830.203045685279,32352.197969543147,Ezi_3,E(z) RNAi,-0.28913169237003966,0.6267371539090034,-73.59725276802297,0.6902148909018996,2.003030973644269,90
10,2.91921768707483,747.2142857142857,528.7431972789116,1522.0,1.6530986768140656,14408.53231292517,40417.62159863945,Ezi_3,E(z) RNAi,-0.016777269364586345,0.597109342723882,-65.53861719328583,0.5973449957398809,1.5988864188644076,90
11,2.120405576679341,749.6070975918884,551.6235741444867,1097.0,1.7371984309741932,11972.489226869455,30916.907477820027,Ezi_3,E(z) RNAi,-0.06398855674817949,0.608455930600867,-67.41241206099387,0.6118113719751228,1.6755766518042337,90
12,3.907110091743119,750.7723623853211,325.66685779816515,2112.0,1.641226838296048,15496.060206422018,29426.123853211007,Ezi_3,E(z) RNAi,0.40840600017149753,0.5546857026925984,-53.84252554671727,0.6888190544313237,0.9361316470313747,90
13,2.6197061365600693,755.2904062229904,302.65168539325845,1459.0,1.8101804570713798,16028.829732065687,29773.116681071737,Ezi_3,E(z) RNAi,0.4576607862273452,0.5595867292556518,-53.72171993471615,0.72290435246253,0.8852626340930186,90
14,5.905009451795841,749.4111531190927,571.984404536862,2708.0,1.5974430728058695,14668.880434782608,39089.07844990548,Ezi_3,E(z) RNAi,-0.10704527423438215,0.6127129618867184,-64.70340186775512,0.6219934600941631,1.7437577343816046,90
15,4.801770592763664,758.8752886836028,520.550038491147,3457.0,1.428491090801112,12458.631254811393,37580.92840646651,Ezi_3,E(z) RNAi,0.002679748612808952,0.6220239271153782,-62.69328957024113,0.622029699416889,1.5664882416592272,90
16,2.9582013932868905,757.6136795440152,384.0633312222926,1824.0,1.6421951887361874,19552.45218492717,34857.62761241292,Ezi_3,E(z) RNAi,0.28794201003594,0.5852497194946151,-57.50358797202831,0.6522482926862002,1.1135703473287155,90
17,3.633676975945017,768.9948453608248,575.1518900343642,3548.0,1.5859719429198817,14126.811683848797,35655.60824742268,Ezi_3,E(z) RNAi,-0.10910776778813847,0.6592919169551361,-66.22361505542003,0.6682591838157471,1.734802207400073,90
18,2.001610305958132,764.549114331723,663.256038647343,827.0,1.577320888500786,5060.502415458937,28186.96457326892,Ezi_3,E(z) RNAi,-0.2940647305240275,0.6710588100309112,-72.63334344393594,0.7326622634326619,1.9838026091472956,90
19,2.362762237762238,768.847027972028,640.4125874125874,1560.0,1.61153220790097,5765.650349650349,33975.58566433567,Ezi_3,E(z) RNAi,-0.2454133343600139,0.6753330443566474,-70.88713631043592,0.7185418745499232,1.9193550316656056,90
20,4.026072329688814,764.040370058873,414.53153910849454,1831.0,1.7305074058684053,5755.599663582842,21440.338940285954,Ezi_3,E(z) RNAi,0.2255299291957169,0.6076963088104199,-57.721795845259216,0.6481963843657524,1.2154292091847503,90
21,5.319872476089267,760.1679064824655,363.7635494155154,2528.0,1.6699682154306075,13569.616896918173,32385.181190223168,Ezi_3,E(z) RNAi,0.33065603297314605,0.5859092556331178,-53.97484256145458,0.6727726718424972,1.0570050380337466,90
22,2.4526150216279983,774.1745969327566,534.1553283523398,3345.0,1.8441824957321629,10103.01258356272,29679.93354305938,Ezi_3,E(z) RNAi,-0.022131470724521596,0.6612414433390488,-65.03224647975621,0.661611705145502,1.6042534134821997,90
23,6.089123867069486,761.1695619335347,558.1283987915408,3353.0,1.3702186784647392,13374.303625377643,33641.16351963746,Ezi_3,E(z) RNAi,-0.07552686148251564,0.6366050489371455,-63.25379965296628,0.6410696492095571,1.6888844034820396,90
24,1.770912547528517,772.1663498098859,514.2376425855514,1312.0,1.8799980010321267,9640.402091254753,39115.83745247148,Ezi_3,E(z) RNAi,0.01914687299244111,0.6516694000397851,-64.77134115354865,0.6519506190606787,1.541423509421807,90
25,2.7886178861788617,770.7624209575429,476.62691960252937,1503.0,1.7193022914021647,5713.190605239386,24255.638663053298,Ezi_3,E(z) RNAi,0.09734176949468676,0.6389321365485512,-61.86832012125394,0.6463046458156193,1.4196081854533105,90
26,2.272943980929678,779.5542312276519,487.5554231227652,1139.0,1.4191489582403036,7263.5160905840285,22527.50178784267,Ezi_3,E(z) RNAi,0.07648294468852113,0.6621641201006336,-62.541664768053096,0.6665665478981627,1.455801399974901,90
27,2.125506072874494,783.6201079622132,560.3009446693658,1939.0,1.759000900708998,13956.810391363022,30838.997975708502,Ezi_3,E(z) RNAi,-0.07468025120325905,0.6897689497768367,-66.2772933991894,0.6937999308129269,1.6786447362832966,90
28,3.3203559510567295,789.9822024471636,623.0767519466074,1356.0,1.6388625682855953,5029.706340378198,23760.293659621802,Ezi_3,E(z) RNAi,-0.20465912731645586,0.7201045790541913,-68.04948670792349,0.7486227108288576,1.8477023726135469,90
29,5.060730406237177,789.0750923266311,287.3660237997538,2904.0,1.4149325127180228,18374.569552728764,28998.3578169881,Ezi_3,E(z) RNAi,0.4967227775212961,0.6341640494595593,-48.922868596097544,0.8055417800061132,0.9063391008781848,90
30,3.9093421779988944,786.4361525704809,545.5367606412383,2784.0,1.7704254575038973,8357.477611940298,29264.618573797678,Ezi_3,E(z) RNAi,-0.04341202973707592,0.6924724448134638,-63.60026120645607,0.6938318896907438,1.6334057361303747,90
31,3.1871657754010694,788.8315508021391,704.5320855614973,535.0,1.555180462504509,5389.237967914439,30999.33957219251,Ezi_3,E(z) RNAi,-0.37517385092852285,0.7377393704783364,-72.46559953974014,0.8276562071139861,2.0412567413780947,90
32,2.7741364038972542,796.37023914969,403.6138175376439,1588.0,1.4178541315991693,6565.565987599645,23646.960141718333,Ezi_3,E(z) RNAi,0.2555818819263245,0.6803291324492102,-56.90135062084309,0.726752933828338,1.211434992335448,90
33,4.499466950959488,796.0314498933902,301.1012793176972,2159.0,1.3719996510783565,21479.74040511727,36327.1012793177,Ezi_3,E(z) RNAi,0.4696000458235212,0.6538286182153838,-49.872735331601966,0.8049944503131009,0.9479392294285389,90
34,5.693279022403258,797.2081466395113,338.85417515274946,3303.0,1.458003510671487,20503.044399185335,41464.336048879835,Ezi_3,E(z) RNAi,0.3907949708899032,0.6658614737469231,-50.587557527440126,0.7720700819830183,1.0400638952886003,90
35,1.8410295230885694,803.9076457229372,579.327781983346,1688.0,1.670266632035718,12679.419379258137,32710.250567751704,Ezi_3,E(z) RNAi,-0.10997831938114622,0.7417485564402899,-66.60630908918326,0.7498574209242417,1.7179929400041274,90
36,1.6848137535816619,805.4656160458453,555.4111747851003,950.0,1.6705600672533825,9940.869627507163,28637.356733524357,Ezi_3,E(z) RNAi,-0.059621988029430195,0.7394286533314047,-65.44781403039231,0.741828494211483,1.6512547681630025,90
37,2.207993474714519,809.663132137031,312.2740619902121,1450.0,1.8061535584607427,18654.76427406199,29386.013050570964,Ezi_3,E(z) RNAi,0.449501809045306,0.6885537180342651,-52.1053328404964,0.8222883307902484,0.9924410607321691,90
38,2.265017667844523,809.863074204947,381.81978798586573,1327.0,1.650377192805518,23537.485865724382,44149.7093639576,Ezi_3,E(z) RNAi,0.304156696481116,0.7063452654921945,-55.65049350773475,0.7690480674818345,1.164186721968269,90
39,3.3958944281524928,802.8064516129032,609.3548387096774,641.0,1.5639135265537059,4844.627565982405,25790.34604105572,Ezi_3,E(z) RNAi,-0.17317469646774075,0.7465207410711598,-66.66562871186379,0.7663437168439028,1.79874037138415,90
