label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation
1,12.312039312039312,835.6019656019656,567.9840294840295,1085.0,1.312713524449132,1364.906633906634,Ezi_1_b2,Ezi RNAi,0.0034585404409608334,0.6723414533533167,-41.185887027035754,100
2,14.808239700374532,884.6591760299625,613.2299625468165,1641.0,1.2711639370565335,1589.2359550561798,Ezi_1_b2,Ezi RNAi,-0.11000442901661867,0.7736100474140761,-40.46593430140674,100
3,13.014767932489452,886.3016877637131,675.9430379746835,573.0,1.2990220694543204,1469.9261603375528,Ezi_1_b2,Ezi RNAi,-0.2551128478593705,0.7675383334302297,-46.775654682397004,100
4,13.901129943502825,893.9171374764595,832.695856873823,1431.0,1.4204641521364356,1346.193032015066,Ezi_1_b2,Ezi RNAi,-0.6192925739527912,0.7596967564951493,-57.08513720839811,100
5,14.12583767684289,912.5078183172003,669.3894266567387,1970.0,1.6814504026677595,1576.386448250186,Ezi_1_b2,Ezi RNAi,-0.24459060580621905,0.8264800844580806,-44.372309114661384,100
6,13.529209621993127,920.7938144329897,701.1037800687285,1928.0,1.658383426173715,1560.79793814433,Ezi_1_b2,Ezi RNAi,-0.3192927779812289,0.8398854628095722,-47.02113055230622,100
7,13.636638452237001,913.6614268440145,730.6995163240629,2192.0,1.6870030517387524,2034.3101571946795,Ezi_1_b2,Ezi RNAi,-0.38658301722264377,0.819441318988912,-49.29481625585818,100
8,18.559754851889682,808.4290091930542,832.0577119509704,3436.0,1.6541078335510364,1864.6098059244127,Ezi_1_b2,Ezi RNAi,-0.6040267209883716,0.5702099931513112,-55.06267823131816,100
9,14.537410926365796,854.8248218527316,674.6009501187649,2132.0,1.5598259132193975,1394.461401425178,Ezi_1_b2,Ezi RNAi,-0.24689838327499758,0.6979584926486846,-46.14231164143208,100
10,14.872801082543978,880.7070365358593,710.1569688768607,1856.0,1.4232146563453614,2146.0385656292287,Ezi_1_b2,Ezi RNAi,-0.33363872919788184,0.7496307344025579,-47.593028054439,100
11,15.595190380761522,893.3867735470942,673.87374749499,1415.0,1.2744309523755688,1766.758517034068,Ezi_1_b2,Ezi RNAi,-0.2519535308462756,0.7833363521591263,-43.83134545478472,100
12,14.983174835405999,897.5574250182882,601.8551572787125,1886.0,1.3487377803160991,1645.7622531089978,Ezi_1_b2,Ezi RNAi,-0.08590665181228974,0.803930513218202,-39.05953214634583,100
13,14.677482154445165,892.7644386761843,746.5094094743673,2042.0,1.5047895895169228,2397.3880597014927,Ezi_1_b2,Ezi RNAi,-0.41978160323584524,0.7706223118006938,-50.06232041602311,100
14,15.065092989985693,911.6251788268955,715.1623748211731,1810.0,1.5677506129810206,1862.6874105865522,Ezi_1_b2,Ezi RNAi,-0.3505164433209309,0.8172599190674759,-46.80141330937055,100
15,14.250819672131147,923.9245901639345,685.4344262295082,1561.0,1.488761253465672,1556.9959016393443,Ezi_1_b2,Ezi RNAi,-0.2836839661965338,0.84921809671924,-45.06144473822006,100
16,17.09305373525557,831.9672346002621,736.610747051114,1971.0,1.6785672765908046,1366.099606815203,Ezi_1_b2,Ezi RNAi,-0.3869216709961507,0.637419906077076,-48.82996639594339,100
17,15.403669724770642,833.7729357798165,787.940366972477,1368.0,1.4445456480035792,1976.88876146789,Ezi_1_b2,Ezi RNAi,-0.5057327492854269,0.6334892644537764,-54.200729944514315,100
18,16.26118855465884,837.9016874541453,672.0124724871607,1923.0,1.364284519956554,2706.3323550990463,Ezi_1_b2,Ezi RNAi,-0.23831018265212556,0.6607699438014367,-44.76336710471115,100
19,16.786811779769526,850.179257362356,718.5915492957746,2005.0,1.6887197855350282,1349.3790012804097,Ezi_1_b2,Ezi RNAi,-0.34827395337771205,0.680584013387993,-47.25286403282191,100
20,14.720837487537388,868.9561316051844,831.5583250249252,1490.0,1.4909492413378616,1919.8833499501495,Ezi_1_b2,Ezi RNAi,-0.6125454368447244,0.7045631048502647,-56.96407618850897,100
21,14.723516949152541,856.8654661016949,627.9862288135594,1415.0,1.4281548129514563,2166.126059322034,Ezi_1_b2,Ezi RNAi,-0.13940625309999544,0.7097829931395594,-42.49386763276465,100
22,14.14025085518814,872.8893956670468,800.6374002280502,1322.0,1.6162092332971876,2386.0228050171036,Ezi_1_b2,Ezi RNAi,-0.5415664382753356,0.7181730425609174,-55.16526443350401,100
23,15.176771365960555,882.9393718042367,730.3834915997078,1936.0,1.582662297743213,2298.629656683711,Ezi_1_b2,Ezi RNAi,-0.38087430253918164,0.7513694959810338,-48.69530384826275,100
24,15.842441447835345,895.8580553584102,777.7977288857346,1828.0,1.4690565593486622,2753.5046132008515,Ezi_1_b2,Ezi RNAi,-0.49290279808445026,0.7724600267340449,-51.086088032874855,100
25,15.492063492063492,905.1221532091097,692.5507246376811,1822.0,1.4766489235963904,1516.6342305037958,Ezi_1_b2,Ezi RNAi,-0.29715432752244386,0.8063844933182129,-44.92985671398049,100
26,17.46690307328605,826.4190307328605,768.7139479905437,2182.0,1.3889918322908819,2491.3309692671396,Ezi_1_b2,Ezi RNAi,-0.460327735741777,0.6200665967476628,-50.97147906651391,100
27,16.02,847.88,625.85,507.0,1.3843387683336874,1511.1966666666667,Ezi_1_b2,Ezi RNAi,-0.13314579061026488,0.6901263387639294,-41.32612137297825,100
28,15.830578512396695,849.8471074380166,803.3388429752066,1328.0,1.4300775046512493,2286.626033057851,Ezi_1_b2,Ezi RNAi,-0.5441723501384674,0.6666126630561782,-54.396390241246976,100
29,16.35721295387635,853.549558390579,843.8007850834151,1622.0,1.4835940615446483,1933.6368989205102,Ezi_1_b2,Ezi RNAi,-0.6385209990635182,0.6684083382331496,-56.7064288585049,100
30,15.96333638863428,849.0815765352887,585.3923006416132,1523.0,1.6003570097955846,1950.5967002749771,Ezi_1_b2,Ezi RNAi,-0.039718840323827,0.6991461020704273,-38.39485095268484,100
31,16.362565445026178,864.8527486910995,705.7303664921466,2102.0,1.450425476583799,1346.1354712041884,Ezi_1_b2,Ezi RNAi,-0.3209405539825795,0.7151155278058432,-46.27996185498291,100
32,15.906116642958748,877.2788051209104,771.8534850640114,932.0,1.459178345291748,2406.031294452347,Ezi_1_b2,Ezi RNAi,-0.4759949970288768,0.7322672904765262,-51.16899240099825,100
33,17.238646482635797,887.0409617097062,761.3125556544969,1664.0,1.4179959461618488,2598.1282279608195,Ezi_1_b2,Ezi RNAi,-0.4534827935949879,0.7554221351435011,-48.76732590524199,100
34,17.185239852398524,888.1225092250922,644.7808118081181,1699.0,1.2870195343793924,1351.1033210332102,Ezi_1_b2,Ezi RNAi,-0.1839947910301366,0.7761268970669022,-40.28908554380501,100
35,17.113517550410755,889.1516056758775,798.6609410007468,1695.0,1.3964695039264068,2483.824495892457,Ezi_1_b2,Ezi RNAi,-0.5402485986462744,0.754236448055448,-51.549706778641365,100
36,17.42294713160855,899.8053993250844,727.7103487064117,2196.0,1.3168044335955473,2125.5247469066367,Ezi_1_b2,Ezi RNAi,-0.3779278663868544,0.788937513983986,-45.73489796741631,100
37,18.119888475836433,579.3113382899628,801.7211895910781,1950.0,1.8318571930023893,1997.2379182156135,Ezi_1_b2,Ezi RNAi,-0.4947501277645826,0.06790569699242455,-60.4395558479217,100
38,17.3472397808681,787.2187104930467,736.9557522123894,2945.0,1.4706340981548467,2363.2962494732406,Ezi_1_b2,Ezi RNAi,-0.3801440266672129,0.538303374754665,-49.99830863829212,100
39,17.556166535742342,808.1241162608012,816.1406127258444,2002.0,1.6387933457183859,1945.6787117046347,Ezi_1_b2,Ezi RNAi,-0.566976894875832,0.5721167612284508,-54.91191370573148,100
40,18.47796863330844,812.3256161314414,645.8170276325616,1963.0,1.4847517591255965,2019.5765496639283,Ezi_1_b2,Ezi RNAi,-0.1737014661288967,0.6080986016284371,-41.44155876741749,100
41,19.01956358164033,822.2159518434913,656.0165537998495,1841.0,1.3480912619880938,1365.959367945824,Ezi_1_b2,Ezi RNAi,-0.19907640810154037,0.6283428001960469,-41.33676961697218,100
