label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation
1,1.376271186440678,222.57796610169493,623.1440677966102,724.0,1.6903723888815998,30844.810169491524,mChKD_1,mCherry RNAi,0.4138271240386411,0.7410930301027834,-68.36712603710949,-100
2,1.24,235.1328,551.032,776.0,1.6175015822383172,32786.8768,mChKD_1,mCherry RNAi,0.21295624334115804,0.7200077448074367,-67.78562484341133,-100
3,4.265492957746479,273.0049295774648,672.5169014084507,1727.0,1.4095721487688186,27431.050704225352,mChKD_1,mCherry RNAi,0.5406621070424753,0.5954694815188988,-66.26561033121776,-100
4,4.418852459016393,310.92622950819674,629.561475409836,2967.0,1.5692068705217834,25834.970901639343,mChKD_1,mCherry RNAi,0.4154570567252345,0.5003728553172313,-65.83741473119672,-100
5,5.7534246575342465,226.2566210045662,578.365296803653,1305.0,1.4346174439800385,36950.38356164384,mChKD_1,mCherry RNAi,0.2899748236966706,0.7390932087162665,-63.523927888139404,-100
7,9.676818950930626,254.5617597292724,582.5338409475465,1471.0,1.4162539977588875,36036.30795262267,mChKD_1,mCherry RNAi,0.2963994965967345,0.6615457421499766,-59.78792932824638,-100
8,11.30248833592535,264.0132192846034,662.362363919129,1630.0,1.4105907882909747,28608.034214618972,mChKD_1,mCherry RNAi,0.514544551857482,0.6215610216931393,-59.074070829199066,-100
9,12.03304347826087,253.61565217391305,524.2808695652174,1452.0,1.6169313610883946,36444.82695652174,mChKD_1,mCherry RNAi,0.1362292538249048,0.6745352061620684,-56.796435463222764,-100
10,12.914484233030464,754.3960448957777,607.3126670229824,2271.0,1.539691200288419,32503.813468733297,mChKD_1,mCherry RNAi,0.27347253329963794,-0.6980520562673398,-59.3260436609699,-100
11,14.387900355871887,235.66725978647688,624.0329181494662,1378.0,1.4429099602438118,32542.406583629894,mChKD_1,mCherry RNAi,0.414261092917692,0.7052448425414675,-55.43170524831592,-100
12,14.03828125,259.075,597.775,1631.0,1.4651467289253584,32959.09765625,mChKD_1,mCherry RNAi,0.33767111041552855,0.6465051092074101,-55.614429345527796,-100
13,13.55662472242783,267.7165062916358,646.4663212435233,1707.0,1.5030128465995072,30386.303478904516,mChKD_1,mCherry RNAi,0.4701606987715421,0.6143406440172294,-56.66656868116439,-100
14,16.83901918976546,248.0362473347548,525.498933901919,1204.0,1.572327716285163,34165.35607675906,mChKD_1,mCherry RNAi,0.14074094960955086,0.6893680477865127,-51.9760021241414,-100
15,15.661764705882353,250.32996323529412,583.7555147058823,1359.0,1.6592446951307513,34993.96783088235,mChKD_1,mCherry RNAi,0.3007091730996996,0.6727061159930166,-53.79540884742757,-100
16,14.630193905817174,286.33171745152356,638.9397506925208,1713.0,1.4906204624020323,29811.336565096954,mChKD_1,mCherry RNAi,0.44606727709548233,0.5652079967010624,-55.604965361214504,-100
17,16.208304498269896,287.25951557093424,686.0726643598616,1696.0,1.3926672975446617,26484.965397923876,mChKD_1,mCherry RNAi,0.5757332883563451,0.5542039596650985,-54.54191811280484,-100
19,15.462113127001068,772.7534685165422,602.4258271077908,1156.0,1.4308077845973683,33077.547491995734,mChKD_1,mCherry RNAi,0.25673779551832565,-0.7469827757950216,-56.81777219872815,-100
20,17.280873493975903,246.53765060240963,628.7198795180723,1627.0,1.373337401593116,30549.660391566264,mChKD_1,mCherry RNAi,0.4252665843277401,0.6748875343775198,-52.64421087930665,-100
21,17.644052863436123,275.726872246696,634.1224669603524,1470.0,1.614175441247945,30585.18502202643,mChKD_1,mCherry RNAi,0.4348251438877695,0.594776968602855,-52.48596922387862,-100
22,18.482118294360387,295.4662998624484,658.8143053645117,1928.0,1.6101163473876468,25081.039889958734,mChKD_1,mCherry RNAi,0.49923942481002803,0.5368143239688057,-52.014313327724,-100
24,18.533050847457627,716.2567796610169,700.3881355932203,1423.0,1.25641633981178,30520.306779661016,mChKD_1,mCherry RNAi,0.536899625493598,-0.611454817394598,-54.52426860982556,-100
25,19.56145251396648,261.7001862197393,585.0921787709498,1306.0,1.6277183199117045,36070.013966480445,mChKD_1,mCherry RNAi,0.30242679931669936,0.6415797151754508,-49.967505863322856,-100
26,19.37079455977094,300.5826771653543,683.0214745884037,1638.0,1.3374594912401532,31972.084466714387,mChKD_1,mCherry RNAi,0.5649902423218509,0.5185823920325854,-51.4134504847744,-100
27,20.58125,390.32916666666665,717.8409722222223,1731.0,1.355706092484436,20258.849305555555,mChKD_1,mCherry RNAi,0.6445227216719744,0.2689995101681202,-51.0302511175844,-100
28,20.228169014084507,752.4666666666667,449.13521126760565,1321.0,1.3439582622947361,27619.42441314554,mChKD_1,mCherry RNAi,-0.16153673675724212,-0.6645294151457728,-50.290651314561856,-100
29,20.129973474801062,768.2564102564103,447.00618921308575,1406.0,1.5345160157459443,28186.601237842617,mChKD_1,mCherry RNAi,-0.17028496506159663,-0.7069530348643334,-50.444994139177005,-100
30,20.54055896387185,259.2269938650307,628.6175869120655,1755.0,1.3866513084723913,31547.488070892978,mChKD_1,mCherry RNAi,0.42276243341018716,0.6404532320849112,-49.447302411050366,-100
31,20.818601076095312,268.8109146810146,567.8870099923136,1655.0,1.5239768423122981,34447.863182167566,mChKD_1,mCherry RNAi,0.25378710500684654,0.6253720354759178,-48.559839408556854,-100
33,20.353515625,747.3408203125,661.03125,1230.0,1.4077883368159787,34936.4462890625,mChKD_1,mCherry RNAi,0.4229003135718523,-0.6886871347326375,-52.433749829783366,-100
35,22.658836689038033,252.9675615212528,532.3333333333334,1086.0,1.3801559526962721,38616.93624161074,mChKD_1,mCherry RNAi,0.1588287089871323,0.6746809984580391,-46.25532990584235,-100
36,23.681215900233827,291.68121590023384,622.1208106001559,1457.0,1.4329827209359753,31964.996102883866,mChKD_1,mCherry RNAi,0.39903792675609817,0.5535846634870241,-46.39932724892956,-100
37,23.06317539484622,767.7190357439734,424.7805486284289,1498.0,1.3390473226010031,28829.781379883625,mChKD_1,mCherry RNAi,-0.23130478110050845,-0.7015504638692323,-47.26867367977468,-100
38,22.04995374653099,779.8677150786309,626.0388529139685,1253.0,1.5576353617376837,30335.95004625347,mChKD_1,mCherry RNAi,0.32065247925477736,-0.7706130146111878,-50.52173982732653,-100
39,22.30997624703088,820.5617577197149,543.3432304038005,1067.0,1.6628797662809263,33824.32660332542,mChKD_1,mCherry RNAi,0.08551181317571421,-0.8660918955802305,-49.5705397330904,-100
40,23.053023255813955,246.90976744186045,558.0827906976745,1283.0,1.545532757720037,29616.824186046513,mChKD_1,mCherry RNAi,0.23085228105897104,0.6864740158817169,-46.10956753848693,-100
41,24.636759581881535,282.68466898954705,571.1881533101046,1353.0,1.4430868392740568,28875.59843205575,mChKD_1,mCherry RNAi,0.26045489120838416,0.5871068111587183,-44.84728712003388,-100
44,22.356792144026187,644.4590834697218,717.0106382978723,1356.0,1.636366782133207,25791.081833060558,mChKD_1,mCherry RNAi,0.5958914643313529,-0.41984904113156785,-50.52061501647182,-100
45,22.951219512195124,668.9181746656176,637.4681353265146,1487.0,1.5373151314758238,33987.430369787566,mChKD_1,mCherry RNAi,0.3724071886189759,-0.4718848819768283,-49.187733991256295,-100
46,22.37328094302554,696.2043222003929,693.4233791748527,1151.0,1.5526594922465105,28829.968565815325,mChKD_1,mCherry RNAi,0.5214927190314338,-0.5558996830086422,-50.508318761919924,-100
47,23.88421052631579,718.6887218045113,577.7962406015038,1618.0,1.5740061987002525,26217.823308270676,mChKD_1,mCherry RNAi,0.19902927236538548,-0.5961160952119189,-47.85841544350074,-100
48,23.81699346405229,735.426797385621,503.94183006535945,1906.0,1.5222042193726717,26834.942483660132,mChKD_1,mCherry RNAi,-0.007401225240136866,-0.6282307238864737,-47.20998513304329,-100
49,23.108247422680414,781.8479381443299,565.6056701030927,1399.0,1.5288979319744458,28470.84965635739,mChKD_1,mCherry RNAi,0.153906828094742,-0.7651454078437313,-48.81915886772741,-100
50,23.431818181818183,797.0588842975206,437.379132231405,1195.0,1.471726374043906,28268.38946280992,mChKD_1,mCherry RNAi,-0.20195796609491623,-0.7833617397083922,-47.1836339288166,-100
51,25.445921985815602,217.58156028368793,583.8909574468086,1296.0,1.2664850956903797,32718.945035460994,mChKD_1,mCherry RNAi,0.3073437247073969,0.7613136951812685,-43.84914161643327,-100
52,24.916160388821385,276.12879708383963,557.8602673147024,969.0,1.2956172480011314,34506.0085054678,mChKD_1,mCherry RNAi,0.22495889313449613,0.6072694821601154,-44.3907226786397,-100
53,24.386554621848738,294.48879551820727,602.4089635854342,918.0,1.3780508410746422,24740.49719887955,mChKD_1,mCherry RNAi,0.34426527021390996,0.5495019528960308,-45.494706628740445,-100
57,24.65913200723327,753.2658227848101,465.997287522604,1342.0,1.3917664209828615,26073.1130198915,mChKD_1,mCherry RNAi,-0.11512152433959044,-0.6697929829535874,-46.04657424229259,-100
58,25.784953867991483,294.18878637331443,676.6848828956707,1676.0,1.4424564802667703,28511.303051809795,mChKD_1,mCherry RNAi,0.5488938757255803,0.5369550524468931,-44.89906992410667,-100
59,26.592825112107622,304.15336322869956,595.3686098654708,1502.0,1.5469651573237198,26149.907623318384,mChKD_1,mCherry RNAi,0.3231775818802727,0.5245304175370711,-43.260848475112205,-100
61,26.813573180703187,376.1880621422731,803.573998364677,1410.0,1.3936595186195042,22852.033524121012,mChKD_1,mCherry RNAi,0.8833673805595832,0.2918445019852842,-45.655648154557205,-100
62,25.390625,673.0439453125,622.6650390625,1311.0,1.5752888689187412,26841.99609375,mChKD_1,mCherry RNAi,0.33096120154117803,-0.48044980442912855,-46.60892827272117,-100
63,25.89505703422053,733.7186311787073,614.0722433460076,1565.0,1.3856182418107568,26842.049429657796,mChKD_1,mCherry RNAi,0.2962365409358112,-0.6434093158083667,-46.315857044247,-100
64,25.826446280991735,747.9818181818182,419.6314049586777,1452.0,1.3030762922499013,29377.01652892562,mChKD_1,mCherry RNAi,-0.24180071595373687,-0.6471592821840666,-44.350844891105744,-100
65,26.614150943396226,744.7801886792453,447.97264150943397,1255.0,1.2877896613308313,28968.27075471698,mChKD_1,mCherry RNAi,-0.16315024043976378,-0.6435811455435341,-43.853980153297,-100
66,27.445152158527954,297.4055201698514,640.2158527954706,1629.0,1.4063276818842771,29465.475583864118,mChKD_1,mCherry RNAi,0.4479299012936244,0.5347575086705023,-42.8602840416613,-100
67,27.364928909952607,402.25118483412325,687.7401263823065,1580.0,1.37842236767596,22973.28357030016,mChKD_1,mCherry RNAi,0.5596535594236054,0.24197787721451847,-43.98096375383315,-100
68,26.886363636363637,793.8887559808612,482.5311004784689,1009.0,1.2529644988744406,30334.391148325358,mChKD_1,mCherry RNAi,-0.07694449898987898,-0.782929342862617,-44.20228211123031,-100
69,28.453703703703702,287.4151234567901,609.354938271605,1559.0,1.424329482913783,31092.988425925927,mChKD_1,mCherry RNAi,0.36480135280892045,0.5673687564748424,-41.46756649622469,-100
70,30.658461538461538,660.5261538461539,618.3761538461539,1792.0,1.5421973720960336,25666.421538461538,mChKD_1,mCherry RNAi,0.3215885012179358,-0.4458245833945488,-41.232240125182926,-100
71,28.469237832874196,714.0459136822773,421.969696969697,1303.0,1.3284415673686234,29685.396694214876,mChKD_1,mCherry RNAi,-0.2290897681135815,-0.555616852714184,-41.56332794324726,-100
72,27.729336966394186,716.9727520435968,387.80108991825614,1362.0,1.5107603751981518,27864.81289736603,mChKD_1,mCherry RNAi,-0.323735510019442,-0.5574042650720541,-41.94792230919289,-100
73,27.244805781391147,721.319783197832,639.0,1277.0,1.4219028533072575,25672.06142728094,mChKD_1,mCherry RNAi,0.36718268919083763,-0.6142923984510829,-45.17389609691741,-100
74,28.932865731462925,722.0981963927856,554.6753507014027,1246.0,1.376908271867923,29207.99498997996,mChKD_1,mCherry RNAi,0.13488477705542623,-0.60128591754957,-42.57689788186056,-100
75,28.575,726.4922222222223,316.735,2446.0,1.880409937029679,24170.63,mChKD_1,mCherry RNAi,-0.521143544793043,-0.5704634956872445,-40.38065533164604,-100
76,27.159525979945304,756.771194165907,399.86599817684595,1281.0,1.5194238842855339,29687.037374658157,mChKD_1,mCherry RNAi,-0.2977948049955038,-0.667459344122437,-42.84795406246186,-100
77,28.457918552036197,758.1357466063348,513.2117647058824,1474.0,1.7246798397969423,27587.890497737557,mChKD_1,mCherry RNAi,0.014113558053369335,-0.6915336600639377,-42.783666744553656,-100
78,28.733442354865087,281.24938675388387,597.5110384300899,1466.0,1.3943494460178747,31459.367947669663,mChKD_1,mCherry RNAi,0.3333205872455953,0.5862072339109412,-41.02868800420752,-100
79,29.06338028169014,320.0430359937402,575.6572769953052,1515.0,1.6840772816923697,37361.096244131455,mChKD_1,mCherry RNAi,0.26606897942708896,0.4849533919736553,-40.65676519371352,-100
81,28.584921292460646,691.2866611433305,644.2932891466446,1430.0,1.4316783147775434,26283.10521955261,mChKD_1,mCherry RNAi,0.3872806337304364,-0.5338411889614565,-43.74053268971229,-100
82,28.904847396768403,726.9847396768403,352.3411131059246,1339.0,1.3994444238789663,27388.285457809696,mChKD_1,mCherry RNAi,-0.42317546261392347,-0.5781980519888901,-40.43880099480353,-100
83,31.239086294416243,733.7746192893401,366.1619289340102,2539.0,1.2880391217514366,27464.839086294418,mChKD_1,mCherry RNAi,-0.3862892733484413,-0.5991242890157025,-38.28842247229572,-100
84,29.279,237.123,517.111,1156.0,1.5139152775397062,31292.47,mChKD_1,mCherry RNAi,0.1199950440163009,0.7202678191605492,-39.3913496101387,-100
85,29.248459958932237,251.71663244353184,535.482546201232,1197.0,1.5546345390883087,35039.27104722793,mChKD_1,mCherry RNAi,0.1679195083272671,0.6774044126250525,-39.69399663324715,-100
86,30.34778597785978,274.06180811808116,506.6918819188192,1304.0,1.3774851355916893,31624.0221402214,mChKD_1,mCherry RNAi,0.08459097393204518,0.6219777000612989,-38.395127265727055,-100
87,29.906937394247038,669.9433164128595,637.8307952622673,1475.0,1.6542456987359528,34482.04906937394,mChKD_1,mCherry RNAi,0.37341970545480074,-0.4748373894677095,-42.24158007040458,-100
88,29.57130044843049,724.752466367713,571.3991031390135,1338.0,1.5280626086854987,32161.403587443947,mChKD_1,mCherry RNAi,0.18047079876331917,-0.6114950787972512,-42.13288712823041,-100
89,30.733393994540492,734.1328480436761,545.6396724294814,1380.0,1.2578718202431636,30142.492265696088,mChKD_1,mCherry RNAi,0.10785814007736749,-0.6323183441778698,-40.73903900294178,-100
90,28.830704521556257,742.664563617245,474.4616193480547,1187.0,1.4396873786453563,29152.52996845426,mChKD_1,mCherry RNAi,-0.08975730174072627,-0.6426368503091673,-41.91376188310333,-100
91,29.431818181818183,750.6363636363636,340.8068181818182,1052.0,1.2976368161075287,26334.444318181817,mChKD_1,mCherry RNAi,-0.45924023147668647,-0.6402566808454211,-39.90563018363261,-100
92,31.296918767507,759.4388422035481,421.2857142857143,2715.0,1.6481907795130377,31831.841736694678,mChKD_1,mCherry RNAi,-0.2391788423615705,-0.6786024692365432,-38.9561435405244,-100
94,31.51271186440678,228.44661016949152,604.643220338983,1381.0,1.3357660417141408,31949.462711864406,mChKD_1,mCherry RNAi,0.3626808961954078,0.7280365136276921,-38.06196490764338,-100
95,31.024,278.975,519.497,1204.0,1.267233876772423,35035.68,mChKD_1,mCherry RNAi,0.11897494582278267,0.6063475129625224,-37.882244995325955,-100
97,31.254314259763852,715.8119891008174,441.283378746594,1324.0,1.3316221273535935,27187.06357856494,mChKD_1,mCherry RNAi,-0.17614767029976275,-0.5639165053737427,-38.99641348922748,-100
