label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation
1,2.211988304093567,236.6359649122807,412.7163742690058,875.0,1.6145970091016024,24421.766081871345,mChKD_2,mCherry RNAi,0.3634112512740917,-0.8177486639881856,-47.27835067246442,120
2,2.2325581395348837,239.23385012919897,441.9780361757106,1006.0,1.9066690401538249,30079.36434108527,mChKD_2,mCherry RNAi,0.29075453132569695,-0.8181925839332712,-47.8601417139395,120
3,2.7213592233009707,242.3116504854369,502.36893203883494,1180.0,1.3328654976104273,30591.665048543688,mChKD_2,mCherry RNAi,0.14130949063940168,-0.8257438916546592,-48.60259432876219,120
4,2.506825938566553,248.83191126279863,397.6825938566553,1484.0,1.5367813336576757,28679.08532423208,mChKD_2,mCherry RNAi,0.39759496359327695,-0.7781805791914668,-46.74525427457928,120
5,3.623730964467005,252.3267766497462,489.9403553299492,2047.0,1.6485707397358873,29999.236040609136,mChKD_2,mCherry RNAi,0.16955165725913113,-0.7932220151685925,-47.50303975347683,120
6,1.696808510638298,252.2712765957447,415.04787234042556,697.0,1.6536373579187646,24419.53014184397,mChKD_2,mCherry RNAi,0.3540797801382365,-0.7729351154480626,-47.922542602692936,120
7,4.3477956613016095,256.8257522743177,427.62071378586427,1769.0,1.3853660773437242,31233.943317004898,mChKD_2,mCherry RNAi,0.32193200252310605,-0.7631041486086417,-45.54902267210695,120
8,4.202369200394867,254.43978282329715,447.5750246791708,2419.0,1.3666218274729591,32221.598223099703,mChKD_2,mCherry RNAi,0.27335518020003025,-0.7754954302897952,-46.08331841675495,120
9,3.4921681780708984,256.3544929925804,386.5012366034625,1453.0,1.6139622391637747,34585.61170651278,mChKD_2,mCherry RNAi,0.42333825803125524,-0.7532451886799227,-45.5747321526329,120
10,2.1069237510955303,268.22787028922,421.578439964943,1532.0,1.8691592184415353,28396.205083260298,mChKD_2,mCherry RNAi,0.3342871084052961,-0.7283260094441983,-47.72780725296454,120
11,2.100848256361923,275.4373232799246,468.6352497643732,1288.0,1.8174791317892405,29410.067860508952,mChKD_2,mCherry RNAi,0.21674577972323106,-0.7202263870980599,-48.71849614144721,120
12,3.628522630230572,271.4842015371477,450.3680614859095,1541.0,1.5200264377548147,33566.90777113578,mChKD_2,mCherry RNAi,0.26256425181652787,-0.7267119621336835,-46.8028595601792,120
13,2.2865979381443298,281.79243986254295,394.192439862543,1716.0,1.4506057650572957,32252.743642611684,mChKD_2,mCherry RNAi,0.398576572673053,-0.6814044249254013,-47.06854031782649,120
14,1.348297213622291,286.187306501548,431.46904024767804,806.0,1.9477659372019758,36813.79721362229,mChKD_2,mCherry RNAi,0.30581666575415345,-0.6788238357010974,-48.77969106534957,120
15,1.3189401373895977,288.51913640824336,330.80471050049067,1252.0,1.8442659073664194,29242.898920510303,mChKD_2,mCherry RNAi,0.5531576171066797,-0.6445346872925082,-46.79610619744356,120
16,4.920754716981132,273.0867924528302,510.9820754716981,1690.0,1.482494966740781,30884.185849056605,mChKD_2,mCherry RNAi,0.11287022911518663,-0.7386051808070822,-46.73878632067452,120
17,2.3913491246138,287.3717816683831,512.3038105046344,1224.0,1.7081929284329453,30227.569515962925,mChKD_2,mCherry RNAi,0.10643981695400817,-0.6974611252145574,-49.36935317039399,120
18,4.266797129810828,283.39595564253096,484.4644487932159,2434.0,1.6627289708862785,31542.16046966732,mChKD_2,mCherry RNAi,0.17581668754349766,-0.7013933542133312,-46.91332269380274,120
19,4.550913838120104,284.09007832898175,283.8126631853786,1821.0,1.6807329668327637,26791.766971279372,mChKD_2,mCherry RNAi,0.6697325925110014,-0.6445371180889197,-42.59614012982615,120
20,2.2206611570247934,301.55785123966945,426.10578512396694,1507.0,1.6339430610996586,32422.2826446281,mChKD_2,mCherry RNAi,0.3154237813863241,-0.6326635706741893,-47.880441484580935,120
21,1.9471830985915493,303.0,492.30281690140845,1677.0,1.8930135071596363,40913.645070422535,mChKD_2,mCherry RNAi,0.15209856816060663,-0.6465643303457536,-49.49321712108833,120
22,2.7324052590873937,304.9133797370456,442.04949729311676,1664.0,1.8185176025370622,35597.847641144625,mChKD_2,mCherry RNAi,0.27536139424516715,-0.6272604040870079,-47.70721369509562,120
23,1.4408688656476267,309.5277554304103,557.8897827835881,1557.0,1.9037026418890506,36986.692679002415,mChKD_2,mCherry RNAi,-0.010888890313650368,-0.6455155168039974,-51.35324755739265,120
25,3.6717776712985146,310.02204120747484,473.9425011978917,2661.0,1.5405438706562546,34401.32726401533,mChKD_2,mCherry RNAi,0.1955977879638513,-0.6211149838184851,-47.436541835021046,120
26,3.935339308578745,314.9186939820743,251.854033290653,1774.0,1.3274441754099886,25050.414212548014,mChKD_2,mCherry RNAi,0.741329003048012,-0.5461827828759531,-42.730738659593406,120
27,2.6994256541161454,318.76260370134014,414.61391193363113,1787.0,1.5687655033441816,34907.45692405871,mChKD_2,mCherry RNAi,0.3397179134833075,-0.5794997893327343,-47.26105384369417,120
29,2.2424615384615385,327.40861538461536,477.8806153846154,1869.0,1.5597996725141476,33099.619076923074,mChKD_2,mCherry RNAi,0.18195147587198934,-0.5716580951186516,-49.03620381686259,120
30,1.723593287265548,326.8568608094768,359.9358341559724,1183.0,1.7122110136070054,39126.77788746298,mChKD_2,mCherry RNAi,0.47253615050900155,-0.5410345232563013,-47.179207366114554,120
33,4.785824345146379,235.693374422188,488.9191063174114,1534.0,1.3630433575448455,28799.49460708783,mChKD_2,mCherry RNAi,0.17585475056346134,-0.8412890017396754,-46.233185704551786,120
34,4.812202097235462,245.68160152526215,517.1525262154432,1283.0,1.4328915021243682,34395.29170638703,mChKD_2,mCherry RNAi,0.10402030987816335,-0.8199662882223124,-46.82734541679045,120
35,4.470652173913043,261.6141304347826,404.30760869565216,1202.0,1.74483419159691,27600.296739130434,mChKD_2,mCherry RNAi,0.37822508319674686,-0.7428107713086194,-44.98235166736095,120
36,4.15633423180593,268.11769991015274,364.3728661275831,1337.0,1.7252230949357368,29622.944294699013,mChKD_2,mCherry RNAi,0.47507324200409484,-0.7129927120952229,-44.52738039857028,120
37,4.0578420467185765,274.07119021134594,347.4249165739711,1385.0,1.7465168669743445,22764.436040044493,mChKD_2,mCherry RNAi,0.5154343204949621,-0.6910537422662288,-44.31619318046525,120
38,3.9309664694280078,279.7110453648915,438.2465483234714,1293.0,1.478417485528756,34035.15779092702,mChKD_2,mCherry RNAi,0.29049438568502306,-0.6994788602434056,-46.29987715670354,120
39,3.801715919923737,283.63489037178266,373.94566253574834,1239.0,1.412671496001072,33812.05433746425,mChKD_2,mCherry RNAi,0.4479297544540759,-0.6704999498933601,-45.15610720250823,120
40,5.21021021021021,276.24024024024027,418.4594594594595,539.0,1.7323176334203616,23517.64864864865,mChKD_2,mCherry RNAi,0.33995655728307095,-0.7041492842072128,-44.60457588613394,120
41,5.810631229235881,292.02259136212626,426.39335548172755,2224.0,1.6686592090363002,35726.19468438538,mChKD_2,mCherry RNAi,0.3167389295985992,-0.6604283925044989,-44.2468922712953,120
42,3.2420091324200913,295.38584474885846,567.2716894977169,584.0,1.7445189077052092,27717.287671232876,mChKD_2,mCherry RNAi,-0.030811563904177608,-0.6891759013039089,-49.666880254160525,120
43,7.805440567711413,299.42164399763453,560.7273802483737,2203.0,1.4596328344295817,31190.3595505618,mChKD_2,mCherry RNAi,-0.015861823952548204,-0.6756096672510803,-44.993997111534306,120
44,5.064150943396227,308.9169811320755,393.3177358490566,1671.0,1.6284644718673293,28813.33283018868,mChKD_2,mCherry RNAi,0.39431550585943054,-0.6022803593444381,-44.41662368842232,120
45,4.717467760844079,312.11254396248535,428.263774912075,1380.0,1.807020464444199,31355.838218053927,mChKD_2,mCherry RNAi,0.3075418082929997,-0.602543741781435,-45.483091336922676,120
46,4.917668825161887,233.45698427382052,397.1248843663275,1392.0,1.6078982775942805,23976.39500462535,mChKD_2,mCherry RNAi,0.40240214036770583,-0.8227033153729826,-44.24286400993554,120
47,5.410757946210269,240.71882640586796,385.09902200489,1113.0,1.522125412321936,25019.718826405868,mChKD_2,mCherry RNAi,0.4303102689759932,-0.7982999880466356,-43.5461274548172,120
48,7.1116838487972505,237.4295532646048,419.4269759450172,1538.0,1.5075473084429982,24845.813573883162,mChKD_2,mCherry RNAi,0.34645456526075646,-0.8172274460522109,-42.518893654760554,120
49,5.5298346513299785,274.52264557872036,543.84327821711,1801.0,1.42033298648808,30336.839683680806,mChKD_2,mCherry RNAi,0.03158879662842229,-0.7434053627356327,-46.798500733156416,120
50,4.924287118977384,281.850540806293,526.5919370698132,1413.0,1.6629931087744045,29012.61651917404,mChKD_2,mCherry RNAi,0.07240479499652985,-0.7173927061843347,-47.095382752428904,120
51,9.073542600896861,281.0035874439462,577.6008968609865,2860.0,1.3660036131335656,33517.03228699551,mChKD_2,mCherry RNAi,-0.05321591783121904,-0.7337544537579284,-43.968785457196205,120
52,6.815037593984963,315.90977443609023,445.3827067669173,1667.0,1.3759412357919725,40978.41954887218,mChKD_2,mCherry RNAi,0.2644028510779002,-0.5961620810771127,-43.75034682939724,120
53,8.403672486453944,394.58067429259484,328.96899458157736,5027.0,1.5349582449510313,22974.57375075256,mChKD_2,mCherry RNAi,0.5327860416423014,-0.3356162289673975,-40.23369482421372,120
54,5.8950777202072535,422.2577720207254,600.4306994818653,1936.0,1.5745734575042685,30909.770077720208,mChKD_2,mCherry RNAi,-0.14194368278825287,-0.32936342468324076,-48.34864024605935,120
55,6.368029739776952,457.1263940520446,694.9507434944238,1442.0,1.5038903741074257,29022.46282527881,mChKD_2,mCherry RNAi,-0.38278181504205244,-0.2538180626559535,-49.96073054693351,120
56,7.79375,452.21197916666665,221.6359375,2357.0,1.3358661308748474,27303.397916666665,mChKD_2,mCherry RNAi,0.7837868697830583,-0.1387408901226116,-38.98717644534526,120
57,4.9,463.3222222222222,659.3604938271604,1055.0,1.4281096118196381,30230.893827160493,mChKD_2,mCherry RNAi,-0.2965019119561104,-0.22609327334003526,-50.74500727989786,120
58,7.774119448698316,481.13093415007654,630.3621745788668,1682.0,1.5837899323345592,35218.402756508425,mChKD_2,mCherry RNAi,-0.22936069267479864,-0.16636589718068118,-47.38175819006361,120
59,5.749653259361997,527.7149791955617,737.7434119278779,1841.0,1.9281321392179709,40390.559639389736,mChKD_2,mCherry RNAi,-0.5044516185181271,-0.06030011835390203,-51.8110774481121,120
60,5.2092746730083235,544.0487514863258,753.4708680142687,1169.0,1.7749613939311306,33861.55172413793,mChKD_2,mCherry RNAi,-0.5469299680726087,-0.017117154192452744,-52.75363975336714,120
61,5.0078125,558.859375,782.6276041666666,948.0,1.4601429048507935,32088.190104166668,mChKD_2,mCherry RNAi,-0.6221418721203655,0.01797091046386967,-53.619524091404074,120
62,5.574660633484163,563.001508295626,756.9351432880844,1681.0,1.5963705613529442,33072.3371040724,mChKD_2,mCherry RNAi,-0.5598628581303341,0.03704008610558218,-52.55769056560593,120
64,6.60981697171381,252.46006655574044,352.5141430948419,1509.0,1.3850973932142145,29004.520798668884,mChKD_2,mCherry RNAi,0.5077715939424137,-0.7552485120635162,-41.75351546597255,120
