label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,4.834257975034674,185.16504854368932,363.5485436893204,1815.0,1.2390388598038984,32565.079056865463,Ezi_4,E(z) RNAi,-0.2918460894152455,0.8292892120015338,-58.52301799884403,-85,2000
2,2.519788918205805,205.471635883905,388.5257255936676,1754.0,1.5223350565820808,34333.52110817942,Ezi_4,E(z) RNAi,-0.24136244525301642,0.7774081816318803,-60.472121916501614,-85,2000
3,1.9472502805836138,211.18967452300785,419.7564534231201,1011.0,1.5168821451838228,34220.91470258137,Ezi_4,E(z) RNAi,-0.17488984322672674,0.7582429780462625,-60.510924169361274,-85,2000
4,3.9408482142857144,215.43694196428572,370.67466517857144,2133.0,1.5537896929115869,32016.026227678572,Ezi_4,E(z) RNAi,-0.28171432005753216,0.7576018660901094,-59.40830692540147,-85,2000
5,2.2783505154639174,224.3766851704996,431.9841395717684,1436.0,1.5071110664840297,32179.950832672483,Ezi_4,E(z) RNAi,-0.15080029164687736,0.7252927324857588,-60.01395195773214,-85,2000
6,4.275968039336202,275.12292562999386,790.7221880762139,2042.0,1.3337918028803846,40739.679778733866,Ezi_4,E(z) RNAi,0.6150267254021977,0.5398070208638313,-51.82821944944064,-85,2000
7,6.060998151571164,173.335797905114,367.46210720887245,1940.0,1.2426856961672768,37437.78373382625,Ezi_4,E(z) RNAi,-0.2813732330217398,0.8560360641320355,-57.180326718420126,-85,2000
8,5.827844311377246,180.48952095808383,323.89820359281435,956.0,1.3770481954047942,16083.31886227545,Ezi_4,E(z) RNAi,-0.3767016206443874,0.8476144318513545,-58.21725543278007,-85,2000
9,8.392517006802722,196.8231292517007,358.1993197278912,2010.0,1.3731611827373873,32373.638095238097,Ezi_4,E(z) RNAi,-0.30557699433481333,0.8031828064130946,-55.10639701200271,-85,2000
10,6.714382174206617,287.8771100607697,790.9358541525996,1791.0,1.5596954065540154,43039.81971640783,Ezi_4,E(z) RNAi,0.6131623559828414,0.510112421218017,-49.436508570002886,-85,2000
11,8.039759036144579,268.7,810.9325301204819,1066.0,1.4602385254945318,25825.118072289155,Ezi_4,E(z) RNAi,0.659651568459497,0.5509068147621088,-47.67995171561161,-85,2000
12,8.446700507614214,296.4038353073886,803.6852791878173,2163.0,1.5576902836120856,49149.06147772138,Ezi_4,E(z) RNAi,0.6391388272133864,0.48788619093710506,-47.51095392963677,-85,2000
