label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,r,theta,rotation
1,2.5124899274778403,646.1482675261885,330.84528605962936,1480.0,1.4101040817486514,2362.929089443997,mCherryi_2_b2,mCherry RNAi,0.41324078908759865,0.36596618043851725,-76.59357977420764,0.5519956476191624,0.7248022827137441,70
2,3.441549295774648,646.580985915493,300.0823943661972,1917.0,1.5155562032201877,1791.9042253521127,mCherryi_2_b2,mCherry RNAi,0.4960469049363694,0.36343697636212013,-74.82507063284851,0.614938182002217,0.6323150977041492,70
3,6.662659123055163,644.5657708628006,319.83804809052333,1743.0,1.3234066308686934,2898.545261669024,mCherryi_2_b2,mCherry RNAi,0.44237275523021014,0.3603599021046946,-72.18511656607943,0.5705724437920854,0.6835843488503238,70
4,1.810110974106042,657.6017262638718,271.7657213316893,891.0,1.6454229069125792,1971.4118372379778,mCherryi_2_b2,mCherry RNAi,0.5737324844591727,0.3886882626553083,-75.4396314949696,0.6929989388517827,0.5954466398832942,70
5,1.5044247787610618,661.3486725663716,255.47610619469026,699.0,1.6012502999272937,1654.1008849557522,mCherryi_2_b2,mCherry RNAi,0.6180630172595372,0.3964809641239282,-75.21996257381792,0.7343017419403297,0.57036919166798,70
6,1.7660130718954248,675.2745098039215,264.52418300653596,929.0,1.8313201691089602,1635.997385620915,mCherryi_2_b2,mCherry RNAi,0.5953562086402031,0.4334976837282649,-74.88462576604455,0.7364572336288157,0.6293578225623556,70
7,4.289319248826291,683.4219483568075,385.12030516431923,1978.0,1.3318222306249752,2529.906690140845,mCherryi_2_b2,mCherry RNAi,0.2714589513138541,0.4684970099418786,-75.43112967267746,0.5414604422974019,1.045642787034819,70
8,2.716546762589928,683.5064748201439,364.39136690647484,962.0,1.8899841451308832,1396.071942446043,mCherryi_2_b2,mCherry RNAi,0.3273971485425766,0.46638077070301875,-76.44161094392936,0.5698244608257457,0.9587324330616044,70
9,1.146341463414634,688.6022514071294,349.0637898686679,718.0,1.9096039831813207,2182.923076923077,mCherryi_2_b2,mCherry RNAi,0.3693950349065258,0.4778409355829043,-77.48082315274637,0.6039740487242301,0.9127055527653877,70
10,1.8170055452865064,692.543438077634,257.11645101663584,786.0,1.8758989424166599,1298.003696857671,mCherryi_2_b2,mCherry RNAi,0.6173716782937164,0.4772391088855339,-74.23932869785274,0.7803236227419099,0.6580702977619167,70
11,3.146694214876033,695.4028925619834,293.8443526170799,1672.0,1.5318370366723397,1992.7265840220387,mCherryi_2_b2,mCherry RNAi,0.5187309197566736,0.4888436932151359,-73.83627374831308,0.7127762085730825,0.755744314251806,70
12,3.709807886754297,695.8442871587462,373.6319514661274,1247.0,1.463296293856033,1427.3013144590495,mCherryi_2_b2,mCherry RNAi,0.3039260120347307,0.499276831113995,-75.41652537525775,0.5845069502397452,1.0239806316480318,70
13,1.7781862745098038,712.4852941176471,346.5747549019608,975.0,1.9392286043585747,2513.7218137254904,mCherryi_2_b2,mCherry RNAi,0.37891867444560856,0.5392106420591665,-76.23669780952956,0.6590352633611313,0.9582415146571924,70
14,5.65281173594132,715.4376528117359,407.64938875305626,2730.0,1.6542067582384172,2180.8488997555014,mCherryi_2_b2,mCherry RNAi,0.2145473576532071,0.553758277703789,-73.94517975451289,0.5938676610166949,1.2011653826431743,70
15,3.432685867381112,727.3127930341594,462.27461486939046,1743.0,1.3869048663101278,2650.6282652377763,mCherryi_2_b2,mCherry RNAi,0.06907210419284748,0.5909425936695758,-77.36675988702491,0.594965633117202,1.4544396725696667,70
16,4.931279620853081,746.6013033175356,421.4478672985782,2046.0,1.5571942662417928,2420.8347156398104,mCherryi_2_b2,mCherry RNAi,0.18119645079709534,0.6359146956108683,-74.32681428629397,0.6612258720553269,1.2932142377104086,70
17,3.78772378516624,749.0400682011935,440.4168797953964,1400.0,1.4400081407197614,2670.940323955669,mCherryi_2_b2,mCherry RNAi,0.13050472873439922,0.6444953581250392,-75.9258370124883,0.6575756617049947,1.371006399377359,70
18,4.160383004189108,764.6152004787552,458.13824057450626,1942.0,1.3193503893122795,2217.667863554758,mCherryi_2_b2,mCherry RNAi,0.08463629027700414,0.6867800168453952,-75.6758789498606,0.6919755004116943,1.448178184644144,70
