label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,48.25821596244131,169.84037558685446,445.6619718309859,590.0,1.7969067325973291,16310.586854460094,LacZ_1,LacZ OE,0.15389974054434852,-0.6237314775595741,-52.608026548664746,100,2500
2,45.371810449574724,284.02673147023086,462.47023086269746,1498.0,1.7657924701496888,40518.8007290401,LacZ_1,LacZ OE,0.10834042267803823,-0.3904267289522968,-52.705827698154856,100,2500
3,48.48492623476587,185.63438101347018,453.6055163566389,1914.0,1.275820896574082,35976.3053239256,LacZ_1,LacZ OE,0.13521695876439743,-0.5918702439383688,-51.860041889989624,100,2500
4,47.625531914893614,240.1212765957447,435.8085106382979,1795.0,1.4683716068452841,47764.65744680851,LacZ_1,LacZ OE,0.1705544193321631,-0.47880352308306207,-52.013409331763654,100,2500
5,47.7083685545224,273.6965342349958,454.7751479289941,1548.0,1.3934083717924732,43391.93322062553,LacZ_1,LacZ OE,0.12621987751721342,-0.4111976228743901,-50.7719284749342,100,2500
6,48.070444104134765,290.6830015313936,453.50382848392036,944.0,1.567872019384884,42086.27718223583,LacZ_1,LacZ OE,0.12782031586615905,-0.3762663292509727,-50.08663547189366,100,2500
7,49.36746987951807,207.67369477911646,432.855421686747,1253.0,1.4644818318240538,30439.010040160643,LacZ_1,LacZ OE,0.1795226598106916,-0.5452624726546585,-51.02026886270521,100,2500
8,49.550632911392405,224.5,470.3481012658228,647.0,1.5047650089398927,23685.510548523205,LacZ_1,LacZ OE,0.09546825460841513,-0.5132962752288268,-49.57968029678162,100,2500
9,50.69723865877712,182.29289940828403,466.99112426035504,1231.0,1.337994730957513,28086.70315581854,LacZ_1,LacZ OE,0.10600217826041836,-0.5997315812663044,-49.394810124369855,100,2500
10,52.33680555555556,192.36689814814815,427.9178240740741,2308.0,1.4686417248200063,33642.640625,LacZ_1,LacZ OE,0.1917036772696461,-0.576460412214082,-48.49098464573716,100,2500
11,53.69669792091317,854.8728088055442,351.4940888707705,3487.0,1.2708945724353051,16625.654300856095,LacZ_1,LacZ OE,0.3127300317417281,0.7882850732428441,-35.16754749344379,100,2500
