label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,5.24125,715.92375,740.6575,1163.0,1.4897689934774163,31206.7625,NICD_3,NICD OE,0.6112928874876076,-0.3550049641425336,-32.1783481466497,-90,2500
2,6.523932729624838,695.8363518758085,743.519404915912,2585.0,1.5883798198757495,35384.16235446313,NICD_3,NICD OE,0.6047307672926867,-0.30255942728905594,-31.821395942448774,-90,2500
3,9.05068312031732,688.7060379021596,772.5231379462318,3236.0,1.8005822445439568,37376.81445570736,NICD_3,NICD OE,0.6805468751560679,-0.26561484385294065,-28.393418014017428,-90,2500
4,8.871493555724033,696.2304776345717,722.9192570128886,3741.0,1.7669703707141229,40501.99203942381,NICD_3,NICD OE,0.5468696327694595,-0.31664148846754814,-30.36751362250105,-90,2500
5,8.055616740088105,714.4531938325991,762.4146475770925,2499.0,1.2968028075676772,34734.0390969163,NICD_3,NICD OE,0.670794289563315,-0.3369389398328221,-28.487549705280486,-90,2500
6,6.313543599257885,723.4972170686457,749.0964749536178,1049.0,1.6961394736883575,29084.198515769946,NICD_3,NICD OE,0.6402048503734128,-0.36845769513644044,-30.34078725019633,-90,2500
7,6.107327905255366,733.0829015544041,788.2442635085122,1881.0,1.7918618818250063,35915.888971132495,NICD_3,NICD OE,0.7568733657241584,-0.3672204746465897,-28.318956257401112,-90,2500
8,6.8780323450134775,683.8281671159029,726.3039083557951,2239.0,1.8335308923142881,34804.50269541779,NICD_3,NICD OE,0.547803836284176,-0.28350020088905126,-32.854658550151555,-90,2500
9,8.357042253521128,691.8774647887324,788.4007042253521,2451.0,1.4320978035238578,34408.53028169014,NICD_3,NICD OE,0.7274509974547383,-0.26337630628232434,-28.21938810693898,-90,2500
10,7.103907637655418,705.0097690941385,803.5595026642984,1608.0,1.6004189637371884,33172.15985790409,NICD_3,NICD OE,0.7795606897754757,-0.2866830999129404,-28.11508539235649,-90,2500
11,9.74786063569682,745.6253056234718,779.1845965770171,4216.0,1.5192369156628935,39002.340158924206,NICD_3,NICD OE,0.7398603767619867,-0.4042174167874023,-24.431628358045558,-90,2500
12,8.1139896373057,672.5142487046633,759.5220207253886,2143.0,1.7324805241424432,33330.867875647666,NICD_3,NICD OE,0.6326508453667299,-0.2334510760535765,-30.74700983703204,-90,2500
13,8.738393977415308,676.1493099121707,692.5432873274781,1979.0,1.5930202335642987,33818.56838143036,NICD_3,NICD OE,0.4473392725688008,-0.2858705140450718,-32.88898387114682,-90,2500
14,8.313740458015268,688.3648854961832,758.312213740458,1991.0,1.5943332638292378,37101.82748091603,NICD_3,NICD OE,0.6405732294480138,-0.2740316943477602,-29.773362079170795,-90,2500
15,9.07820299500832,697.7199112590127,816.7603993344426,2385.0,1.3757861627710735,51203.67387687188,NICD_3,NICD OE,0.8110395410480726,-0.2596229721304616,-25.94373836985733,-90,2500
16,7.86257562662057,707.1002592912705,783.6966292134831,1933.0,1.882714089821833,29055.05617977528,NICD_3,NICD OE,0.725237847932501,-0.30471281781875714,-28.125268736547255,-90,2500
17,9.0177304964539,702.9290780141844,706.5914893617021,2020.0,1.8739772276247948,33388.964539007095,NICD_3,NICD OE,0.505857170333855,-0.34402206033025795,-30.59210573938971,-90,2500
