label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,x_std,y_std,z_std,rotation,D_threshold,kn_threshold,ey_threshold,type,with_ey_kn
1,3.5272108843537415,331.22108843537416,346.1292517006803,845.0,1.539855017347292,19521.688775510203,39817.98469387755,28927.92176870748,LacZ_2,0.45041873250335196,-0.666860191731891,-33.4370671827482,80,22500,30000,25000,LacZ OE,True
2,5.141096734442391,340.89155884165126,351.6105976586568,2594.0,1.4852666520891868,20504.14787430684,39496.47196549599,28601.706099815157,LacZ_2,0.43344773827240024,-0.6318828470665461,-31.92608804680604,80,22500,30000,25000,LacZ OE,True
3,1.0222222222222221,347.9555555555556,330.75353535353537,657.0,1.7497308270428475,21278.07676767677,39555.07272727273,28907.09696969697,LacZ_2,0.5042331703502985,-0.6102423627295881,-36.13562426142276,80,22500,30000,25000,LacZ OE,True
4,6.001366120218579,348.8367486338798,343.7370218579235,2375.0,1.4657910474985083,20741.061475409835,34637.2793715847,28705.679644808744,LacZ_2,0.4609246006304728,-0.605008047530808,-31.15821006160121,80,22500,30000,25000,LacZ OE,True
5,7.980703392468098,366.92125739184564,319.6725801431684,4919.0,1.4786282468144418,16381.93837535014,30114.317149081857,28884.95424836601,LacZ_2,0.5440247767968085,-0.5447513081300062,-29.393078636920055,80,22500,30000,25000,LacZ OE,True
6,4.165570175438597,366.61842105263156,332.56140350877195,1305.0,1.314090234177998,21873.58552631579,24323.645833333332,31054.56359649123,LacZ_2,0.5008332104533191,-0.5440460222020093,-33.19645417841769,80,22500,30000,25000,LacZ OE,False
7,3.5441941074523395,379.0762564991334,346.0953206239168,2041.0,1.7635225869870839,19772.249566724437,26692.06932409012,26132.13431542461,LacZ_2,0.4572987649777849,-0.49812689594378257,-33.94611773188983,80,22500,30000,25000,LacZ OE,False
8,3.429718875502008,372.30321285140565,360.1184738955823,883.0,1.9151137195718553,20515.5281124498,34168.94779116466,26040.981927710844,LacZ_2,0.40940974936147834,-0.5199234976413034,-33.97721934245256,80,22500,30000,25000,LacZ OE,True
9,3.323529411764706,377.97843137254904,368.1843137254902,1186.0,1.6802092128828119,19892.46274509804,24469.70588235294,26282.227450980394,LacZ_2,0.38321805747568294,-0.49871482546479384,-34.1406526983395,80,22500,30000,25000,LacZ OE,False
10,2.6357615894039736,533.1390728476821,296.2384105960265,816.0,1.5954759877575275,12411.05298013245,30950.223509933774,26591.299668874173,LacZ_2,0.645933760925135,0.03763535343736102,-36.57962300852851,80,22500,30000,25000,LacZ OE,True
11,2.7454289732770745,590.662447257384,330.028129395218,996.0,1.4851403567801134,14954.490857946554,29178.09282700422,27806.696202531646,LacZ_2,0.5409844114275733,0.24550255985456682,-37.08075234575588,80,22500,30000,25000,LacZ OE,False
12,4.556620730976633,641.654883163571,316.0802875973637,2032.0,1.4687090285188382,19430.52127022169,39154.31156381067,31149.26423007789,LacZ_2,0.5948799713254032,0.4232939081145133,-35.83903684198316,80,22500,30000,25000,LacZ OE,True
13,2.669362084456424,657.3153638814016,374.42946990116803,1436.0,1.4759620844807455,18657.58131176999,42764.902066486975,30207.865229110514,LacZ_2,0.4018115930606656,0.487134689173746,-37.861204820820355,80,22500,30000,25000,LacZ OE,True
14,2.6003197442046364,698.3988808952838,365.4932054356515,1554.0,1.4882464977011003,22794.469224620305,41319.39648281375,31668.886490807356,LacZ_2,0.43752705261402225,0.6306612030198435,-38.387505736866004,80,22500,30000,25000,LacZ OE,True
15,3.3275,722.79875,313.80375,1057.0,1.48142201138952,12299.18875,25744.70625,26971.85875,LacZ_2,0.6139674967965785,0.7090210580184015,-37.96144263046352,80,22500,30000,25000,LacZ OE,False
16,5.546551724137931,731.9202586206897,356.99051724137934,3000.0,1.4687036163192957,21786.113362068965,39140.05603448276,30686.466810344828,LacZ_2,0.47073334076587114,0.7477047473111074,-35.81531832364138,80,22500,30000,25000,LacZ OE,True
17,2.1032702237521517,777.4406196213425,279.92082616179,765.0,1.5820494919998762,33270.156626506025,24987.0,31763.784853700516,LacZ_2,0.7350841139981927,0.8965923928971882,-39.807757663693494,80,22500,30000,25000,LacZ OE,False
18,3.8300653594771243,281.4019607843137,430.16339869281046,506.0,1.500707718805966,22286.96405228758,36695.7614379085,29158.460784313724,LacZ_2,0.16214080828649147,-0.8299889520891718,-32.533183995458344,80,22500,30000,25000,LacZ OE,True
19,6.650506512301013,293.4739507959479,417.92402315484804,2295.0,1.5671300587682726,20440.80535455861,38414.24167872648,26923.35962373372,LacZ_2,0.20481930353065003,-0.7891377937474049,-29.853390533634897,80,22500,30000,25000,LacZ OE,True
20,6.334235453315291,334.61569688768606,469.6657645466847,1081.0,1.4140633725437834,15508.886332882274,28394.860622462787,27270.416779431664,LacZ_2,0.037472552424803185,-0.6363737242303985,-30.588951934873688,80,22500,30000,25000,LacZ OE,False
21,6.75706940874036,340.9755784061697,306.853470437018,1062.0,1.1963363429938645,11619.505141388176,24284.799485861182,27405.376606683803,LacZ_2,0.5832531049031038,-0.638193496700906,-30.339603905649028,80,22500,30000,25000,LacZ OE,False
