label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,x_std,y_std,z_std,rotation,D_threshold,kn_threshold,ey_threshold,type,with_ey_kn
1,3.68125,234.94166666666666,638.51875,652.0,1.2414766284687824,12446.702083333334,25198.810416666667,30696.597916666666,LacZ_1,0.16007944204242897,0.7448498528160268,-37.011370028988495,-100,22500,30000,25000,LacZ OE,False
2,6.746343923348462,253.42813918305598,666.1694402420575,2590.0,1.1796806525409789,23822.740796772567,39311.386283408974,32309.55118507312,LacZ_1,0.2627097346514775,0.7019043671011851,-32.70349217063334,-100,22500,30000,25000,LacZ OE,True
3,1.4932614555256065,261.2237196765499,627.6280323450135,583.0,1.7374648204012253,17809.79784366577,33801.47169811321,30452.56873315364,LacZ_1,0.13056993657179428,0.6711315024608471,-39.197061135809605,-100,22500,30000,25000,LacZ OE,True
4,3.057738572574178,270.5757818765036,660.2349639133921,1724.0,1.7230437845420004,23904.075380914193,32179.717722534082,33017.27666399359,LacZ_1,0.24785890546573652,0.6540282047473025,-36.34767545706601,-100,22500,30000,25000,LacZ OE,True
5,2.632955536181343,283.1621621621622,654.1935483870968,1734.0,1.7575725622362781,23715.479511769834,24547.55274629468,32666.31647776809,LacZ_1,0.2307470884758387,0.6185389097051908,-36.80092015716865,-100,22500,30000,25000,LacZ OE,False
6,1.6614035087719299,296.53508771929825,686.8824561403509,774.0,1.672807955926634,24679.363157894735,42395.41403508772,32234.87192982456,LacZ_1,0.34994216402821987,0.5905237326869686,-36.42399658258287,-100,22500,30000,25000,LacZ OE,True
7,3.1946308724832213,302.76957494407156,639.1856823266219,1140.0,1.5801444595804455,22888.335570469797,25959.704697986577,31192.14317673378,LacZ_1,0.18428343301737304,0.5619011310768343,-36.48171595808421,-100,22500,30000,25000,LacZ OE,False
8,3.552898550724638,306.1963768115942,669.1840579710145,1910.0,1.3122620931518045,16189.391304347826,29019.683333333334,29784.57536231884,LacZ_1,0.2906643264001805,0.5601082384905502,-35.01629285700798,-100,22500,30000,25000,LacZ OE,False
9,2.386096256684492,309.2085561497326,683.6898395721926,1559.0,1.6642213460193653,23249.03422459893,40602.92406417112,30878.51229946524,LacZ_1,0.34271283677958064,0.5555418854651468,-35.62692406098826,-100,22500,30000,25000,LacZ OE,True
10,4.438618925831202,314.806905370844,639.2915601023018,977.0,1.3655918606075224,21005.052429667518,28133.18286445013,31164.736572890026,LacZ_1,0.18836405517596022,0.5294712968662671,-35.058780154330606,-100,22500,30000,25000,LacZ OE,False
11,1.6770833333333333,317.73125,673.0145833333333,615.0,1.8411278412186556,24217.579166666666,25907.022916666665,32134.195833333335,LacZ_1,0.3080618785865874,0.5298633597909439,-36.58696617650999,-100,22500,30000,25000,LacZ OE,False
12,1.88994708994709,322.63280423280423,710.4338624338625,1259.0,1.6312361766545578,17796.09947089947,34082.706878306875,32908.60105820106,LacZ_1,0.4409905543522905,0.5259270685990636,-34.98371747011262,-100,22500,30000,25000,LacZ OE,True
13,3.431767337807606,329.34451901565996,684.0022371364653,1167.0,1.6170770098608125,22402.957494407157,24722.656599552574,33081.976510067114,LacZ_1,0.3501469418499421,0.501295210875597,-34.27638826210399,-100,22500,30000,25000,LacZ OE,False
14,4.851286939942803,329.35367016205913,665.0905624404195,1361.0,1.515065444300348,24118.854146806483,24788.00857959962,31333.16205910391,LacZ_1,0.28356772069121616,0.4966196595472012,-33.52430120888396,-100,22500,30000,25000,LacZ OE,False
15,3.3401075911536164,332.4913329348476,723.0053795576808,2112.0,1.4603840295818726,13208.734608487746,25696.013747758516,32035.893006575014,LacZ_1,0.48811180146166455,0.5024795849184402,-32.947292978256876,-100,22500,30000,25000,LacZ OE,False
16,5.656089594027065,340.07046196920203,677.2291180587961,2982.0,1.615084039204495,23786.39990667289,25364.69855342977,33062.53616425572,LacZ_1,0.32952762127076274,0.4707279878181452,-32.135466464767305,-100,22500,30000,25000,LacZ OE,False
17,3.768987341772152,365.60917721518985,719.564082278481,1565.0,1.3754563019040267,20131.47231012658,38834.07753164557,31225.56091772152,LacZ_1,0.4866181689127609,0.4122379551228246,-32.15545403920876,-100,22500,30000,25000,LacZ OE,True
18,2.287652645861601,377.1316146540027,743.9240162822252,1047.0,1.5482138742574838,15825.14382632293,28482.470827679783,32260.626865671642,LacZ_1,0.5760406459180409,0.3871348889909614,-32.60856742660477,-100,22500,30000,25000,LacZ OE,False
19,3.5255885363357216,389.7384851586489,774.4303991811669,2837.0,1.8465989514759187,12180.835721596724,33173.724155578304,31961.681166837257,LacZ_1,0.6870425645627802,0.3607138625732995,-30.111895707312136,-100,22500,30000,25000,LacZ OE,True
20,3.9153766769865843,412.4736842105263,729.1986584107327,2474.0,1.447440345144268,12661.638286893705,38933.90815273478,33646.53818369453,LacZ_1,0.5354889585249352,0.2881248305114459,-30.98391509106886,-100,22500,30000,25000,LacZ OE,True
21,7.296596434359805,458.06266882766073,769.3760129659644,2535.0,1.2333527969173474,12895.236088600755,38195.501350621285,33102.7547271745,LacZ_1,0.6907709847913883,0.1751362419535929,-25.5220996523217,-100,22500,30000,25000,LacZ OE,True
22,2.90875,681.23375,621.7925,1138.0,1.7999664041364605,10890.28875,24575.33375,28009.03875,LacZ_1,0.24488993173843587,-0.46407738088633943,-31.842965292301095,-100,22500,30000,25000,LacZ OE,False
23,3.866154690071311,719.4295117937465,591.5271530444322,2567.0,1.5412084227139509,11658.977509599561,24546.896873285794,28155.793746571584,LacZ_1,0.150780017434619,-0.5746690767585155,-31.394089819169857,-100,22500,30000,25000,LacZ OE,False
24,3.3040847201210286,736.2768532526475,532.5408472012103,1797.0,1.54990014539613,11862.093040847201,24673.116490166416,28134.161875945538,LacZ_1,-0.05083645061216746,-0.6348076670328994,-33.788193962575654,-100,22500,30000,25000,LacZ OE,False
25,2.9025341130604287,737.8986354775828,651.8810916179337,714.0,1.7622643009469943,20548.070175438595,33780.682261208574,31709.635477582848,LacZ_1,0.3687450879062404,-0.6095736253262782,-29.959636255313256,-100,22500,30000,25000,LacZ OE,True
26,2.6654302670623147,748.3330860534124,558.4807121661721,2017.0,1.8579057798049026,10608.073442136498,24415.6706231454,27038.55118694362,LacZ_1,0.04419647353964029,-0.6609335742452456,-33.33574689379061,-100,22500,30000,25000,LacZ OE,False
27,2.649419218585005,769.7624076029567,556.8658922914467,1706.0,1.527574267180266,10779.934530095037,24794.73495248152,28753.01372756072,LacZ_1,0.04541618980774742,-0.7191826997963221,-33.095120147931866,-100,22500,30000,25000,LacZ OE,False
28,3.5153970826580228,786.6742301458671,537.8816855753647,1485.0,1.4400490293595374,10914.82495948136,23873.55429497569,28600.189627228527,LacZ_1,-0.015914042151062735,-0.7695215182357432,-32.65141929377541,-100,22500,30000,25000,LacZ OE,False
29,2.373873873873874,793.990990990991,481.81306306306305,1077.0,1.5693159546963895,16517.972972972973,24681.811936936938,31712.644144144146,LacZ_1,-0.2102750339298225,-0.8032261668420766,-35.66116747060103,-100,22500,30000,25000,LacZ OE,False
30,8.962121212121213,359.7193675889328,658.2918313570487,4226.0,1.9445697143528269,21456.400527009224,27123.885704874836,30139.057971014492,LacZ_1,0.26892817578186934,0.41308722822880584,-29.211788308758685,-100,22500,30000,25000,LacZ OE,False
31,6.125925925925926,377.1061728395062,750.9555555555555,2096.0,1.8329940074586393,18581.747325102882,34837.01399176955,32547.513580246912,LacZ_1,0.600227127278846,0.38906714295774547,-28.52563908595031,-100,22500,30000,25000,LacZ OE,True
32,5.3889354568315175,394.37720033528916,671.3537300922045,1538.0,1.5761106203465933,19538.88097233864,24847.48616932104,30380.227158424143,LacZ_1,0.32638734799478586,0.322661963144556,-31.814920860813885,-100,22500,30000,25000,LacZ OE,False
33,5.216650898770104,392.95931882686847,687.9328287606434,1355.0,1.4380669856468415,23225.640491958373,25059.876064333017,29675.839167455062,LacZ_1,0.38416371006989514,0.3305996901291046,-31.423503425128587,-100,22500,30000,25000,LacZ OE,False
34,4.043887147335423,399.7115987460815,724.0830721003135,916.0,1.7373049433080285,21048.9263322884,25379.91065830721,29694.793103448275,LacZ_1,0.5134096783561872,0.3213097686772741,-31.22252088367665,-100,22500,30000,25000,LacZ OE,False
35,7.595435684647303,402.06362378976485,709.5573997233748,2032.0,1.4385233771033095,19862.778008298756,24384.174965421855,30419.181189488245,LacZ_1,0.46270884200253426,0.31146406270255356,-28.151096015977394,-100,22500,30000,25000,LacZ OE,False
36,5.0,404.68884540117415,804.6027397260274,779.0,1.396196891237297,11776.438356164384,25494.293542074363,34183.39138943249,LacZ_1,0.7975944443847847,0.32789101501097306,-27.3564054258868,-100,22500,30000,25000,LacZ OE,False
37,5.568,472.256,761.352,1404.0,1.248610487703824,12701.291555555556,29705.604444444445,32129.05688888889,LacZ_1,0.6673822494437063,0.13477676598346333,-27.324571874455422,-100,22500,30000,25000,LacZ OE,False
38,5.677446102819237,688.2271973466003,686.9767827529022,1698.0,1.5286626506806944,18268.70646766169,35333.41376451078,28368.422885572138,LacZ_1,0.47564652120618245,-0.4666898002882991,-26.6765750778902,-100,22500,30000,25000,LacZ OE,True
39,4.169014084507042,702.6078006500542,647.9295774647887,1182.0,1.4413152816856452,15886.69014084507,22630.906825568796,27484.932827735644,LacZ_1,0.34336592444958947,-0.5152490588323666,-29.34970004210757,-100,22500,30000,25000,LacZ OE,False
40,2.844875346260388,739.4819944598338,596.6828254847645,830.0,1.5937975382673706,16715.75623268698,33746.52631578947,27151.15373961219,LacZ_1,0.1754579245420238,-0.6275517327971216,-31.93952153411886,-100,22500,30000,25000,LacZ OE,True
41,3.4725274725274726,746.239010989011,659.8269230769231,659.0,1.8782158656933419,20720.802197802197,38639.9010989011,30231.585164835164,LacZ_1,0.39925056042873086,-0.6300982393613408,-28.98798038059015,-100,22500,30000,25000,LacZ OE,True
42,4.2438231469440835,770.2217165149544,506.501300390117,2065.0,1.443775158945279,13263.162548764629,24132.7366710013,27842.063068920677,LacZ_1,-0.13147336364253004,-0.7328757509559182,-33.27023201415078,-100,22500,30000,25000,LacZ OE,False
43,4.888727272727273,792.3614545454545,507.9338181818182,1726.0,1.6043842151862096,13543.328727272727,25127.46690909091,29777.071272727273,LacZ_1,-0.11941094265159546,-0.7922658329702548,-32.251375269005784,-100,22500,30000,25000,LacZ OE,False
44,8.72063702720637,244.43994691439946,675.7173191771732,2102.0,1.2223325288164564,23585.060384870605,39150.3696084937,31694.223623092235,LacZ_1,0.2930901719732768,0.7285985704572451,-30.525636204461428,-100,22500,30000,25000,LacZ OE,True
45,6.6239092495637,268.6169284467714,690.4816753926701,1616.0,1.57330369079549,17355.28010471204,26714.231239092496,27977.859511343806,LacZ_1,0.3529684258139456,0.6669340729422455,-31.74673283512299,-100,22500,30000,25000,LacZ OE,False
46,6.250704225352113,719.8760563380282,654.3690140845071,959.0,1.5785982153050004,15976.276056338029,21941.985915492958,29328.414084507043,LacZ_1,0.3712574759340528,-0.5602016279311448,-26.789913788531102,-100,22500,30000,25000,LacZ OE,False
