label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,x_std,y_std,z_std,rotation,D_threshold,kn_threshold,ey_threshold,type,with_ey_kn
1,1.3377110694183865,236.7485928705441,676.9287054409006,648.0,1.697415184004132,10021.829268292682,26157.52157598499,26288.33771106942,Vsx1_1,-0.2093234214995794,0.887105413598765,-37.12705275007035,130,22500,30000,25000,Vsx OE,False
2,1.6935724962630792,246.1031390134529,644.2750373692078,832.0,1.6954577191108642,9988.309417040358,28647.41405082212,26057.860986547086,Vsx1_1,-0.14527906380963307,0.8395679406619645,-38.311918559243345,130,22500,30000,25000,Vsx OE,False
3,4.053039332538736,250.0631704410012,714.9558998808105,2412.0,1.6164048199839618,10802.77830750894,24748.735399284862,28691.349225268175,Vsx1_1,-0.3008703937328535,0.8844434575988802,-33.84534990718064,130,22500,30000,25000,Vsx OE,False
4,7.724467069678651,261.19376391982183,687.901686286987,4332.0,1.3353697758834189,10804.282214444798,21979.29653197582,32630.82437161947,Vsx1_1,-0.25007348394162165,0.836528237558122,-31.627216018125296,130,22500,30000,25000,Vsx OE,False
5,2.51493848857645,254.84007029876977,632.0826010544815,696.0,1.6248700425777955,12675.771528998243,16022.03690685413,27278.309314586993,Vsx1_1,-0.12504002640948486,0.8092477301119922,-38.33184629054964,130,22500,30000,25000,Vsx OE,False
6,1.94206008583691,259.9227467811159,723.1630901287554,741.0,1.5757626915058562,11885.25965665236,22315.53433476395,27133.476394849786,Vsx1_1,-0.325650338489476,0.8676493629496278,-36.18191254858245,130,22500,30000,25000,Vsx OE,False
7,1.326454033771107,264.62288930581616,776.5440900562852,656.0,1.6037181840310244,10186.923076923076,27973.285178236398,26188.45966228893,Vsx1_1,-0.44444903167008265,0.8978254308068305,-35.288111832364535,130,22500,30000,25000,Vsx OE,False
8,2.4812785388127856,267.6557077625571,801.22100456621,1550.0,1.8038619543091665,9528.212785388128,27364.12694063927,26415.68675799087,Vsx1_1,-0.4999230831717708,0.9095204861431665,-33.48154816993354,130,22500,30000,25000,Vsx OE,False
9,3.46071619454837,277.0694815606627,666.9673971138428,2552.0,1.6238670169097795,10715.384820951364,18173.50026723677,29278.652057723142,Vsx1_1,-0.21613967058324546,0.7832153662716959,-37.369336272392786,130,22500,30000,25000,Vsx OE,False
10,4.301282051282051,275.017094017094,648.5053418803419,1744.0,1.541862515292129,10906.489316239316,18074.568376068375,24583.47329059829,Vsx1_1,-0.1747295061880202,0.7737024153112426,-37.030392765112026,130,22500,30000,25000,Vsx OE,False
11,4.236438458660681,281.74822297044517,695.265619154508,4192.0,1.802481945710643,11338.709315375982,22085.335578002243,29841.55667789001,Vsx1_1,-0.28062070522114047,0.793850945425788,-35.90586808308073,130,22500,30000,25000,Vsx OE,False
12,2.703065134099617,271.78735632183907,786.9865900383141,684.0,1.3244792708986852,9663.442528735632,17691.478927203065,26695.530651340996,Vsx1_1,-0.47204041556523446,0.8886602554459662,-33.93423397760588,130,22500,30000,25000,Vsx OE,False
13,1.845390070921986,276.2439716312057,731.8212765957447,981.0,1.9190085150895908,13106.46524822695,18334.643971631205,28865.81134751773,Vsx1_1,-0.35589210482256495,0.8355451506214102,-36.81929853147101,130,22500,30000,25000,Vsx OE,False
14,1.3320683111954459,279.7969639468691,752.0853889943074,657.0,1.6321446881373871,10292.493358633776,31533.01897533207,27896.5275142315,Vsx1_1,-0.40224690295017085,0.842835074548899,-36.8484240460469,130,22500,30000,25000,Vsx OE,True
15,7.0032038446135365,287.92230676812176,705.2759311173409,3568.0,1.4668370982087697,11404.71085302363,19052.301962354824,30381.500200240287,Vsx1_1,-0.3065298714487814,0.7865043670660323,-33.12848400564028,130,22500,30000,25000,Vsx OE,False
16,5.300870511425463,283.4183895538629,793.2796517954298,3022.0,1.512413466122961,10363.262785636562,18263.28073993471,27009.60718171926,Vsx1_1,-0.49376379925816594,0.865488535038007,-31.722568367755258,130,22500,30000,25000,Vsx OE,False
17,4.262051282051282,286.76,653.5538461538462,2691.0,1.3835968649579387,11132.715384615385,24773.644102564103,28260.54358974359,Vsx1_1,-0.19393262426939706,0.7496865800088259,-37.497334113996175,130,22500,30000,25000,Vsx OE,False
18,5.884984025559105,295.11963081292157,717.8927937522187,3844.0,1.3770077604388098,11699.635427760028,22920.1199858005,29739.375931842387,Vsx1_1,-0.3389353227680547,0.7793050676705389,-34.19547533278517,130,22500,30000,25000,Vsx OE,False
19,2.2028254288597378,293.3814328960646,764.3915237134208,1288.0,1.705948985419253,11546.409687184661,20502.205852674066,26207.15438950555,Vsx1_1,-0.43841492618463185,0.8199177041751553,-36.2626724693542,130,22500,30000,25000,Vsx OE,False
20,5.318781725888325,293.6791878172589,794.9786802030457,1669.0,1.398950185752381,10960.758375634518,26827.96040609137,26010.315736040608,Vsx1_1,-0.5046747640654847,0.842399632607703,-32.167173068304,130,22500,30000,25000,Vsx OE,False
21,2.0997679814385153,299.4524361948956,693.1020881670534,673.0,1.6663196531044908,11607.141531322506,19137.9373549884,26640.754060324827,Vsx1_1,-0.288502447993508,0.7503899708666169,-39.00326087551632,130,22500,30000,25000,Vsx OE,False
22,1.7740029542097489,306.2141802067947,704.8611521418021,874.0,1.5398108444133056,11597.98670605613,27102.626292466764,27731.40177252585,Vsx1_1,-0.318717410359854,0.7434480058225037,-39.285291545086416,130,22500,30000,25000,Vsx OE,False
23,6.7537688442211055,319.30586264656614,665.6683417085427,5053.0,1.504746580426752,12139.395309882748,24912.75443886097,28901.821775544387,Vsx1_1,-0.24300198795296613,0.6812958825175859,-36.257138665506375,130,22500,30000,25000,Vsx OE,False
24,6.63887323943662,307.75774647887323,673.689014084507,2601.0,1.4355666574506023,12410.267605633802,20126.272112676055,26556.136901408452,Vsx1_1,-0.25221007198732226,0.7149733371311531,-35.52650912978096,130,22500,30000,25000,Vsx OE,False
25,3.736480686695279,317.1175965665236,818.37339055794,1607.0,1.9196537021525806,13200.963090128755,24352.057510729614,25614.65236051502,Vsx1_1,-0.5718631795671798,0.8049786668684802,-34.164935996855846,130,22500,30000,25000,Vsx OE,False
26,6.339110776186888,318.40693293142425,785.879427279578,1998.0,1.8069507657931292,12837.587038432555,18796.681989449888,26777.141672946495,Vsx1_1,-0.5023970578190815,0.7764161590503573,-32.69468633974502,130,22500,30000,25000,Vsx OE,False
