label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,in_plane,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,8.871883061049012,374.9036973344798,542.4419604471195,1388.0,1.4773498672022416,51725.68013757523,35399.91917454858,False,mChKD_2,mCherry RNAi,-0.1114664212983627,-0.10224234595261872,-47.81697878991493,95,25000
2,10.594594594594595,726.9936406995231,466.63910969793324,781.0,1.3164492863087232,37249.89825119237,22908.92050874404,False,mChKD_2,mCherry RNAi,0.16992897137292728,0.7200217602370651,-52.66250559189518,95,25000
3,12.970643347907558,399.34415990006244,501.5577763897564,2059.0,1.7301405668243588,46236.89319175515,27692.980012492193,False,mChKD_2,mCherry RNAi,0.018403648838181796,-0.04880298701520225,-45.754796241561834,95,25000
4,12.21985815602837,637.4113475177305,463.1568163908589,1618.0,1.4378712613276006,17398.800630417652,30490.72655634358,False,mChKD_2,mCherry RNAi,0.1687917967625432,0.5084792849644875,-50.375897578959844,95,25000
5,13.352101506740683,394.7026169706582,463.92545598731164,1550.0,1.4854653787761682,40558.9246629659,23913.443298969072,False,mChKD_2,mCherry RNAi,0.13381318412111654,-0.06365472772943093,-46.99692579692315,95,25000
6,14.526683608640406,411.12960609911056,466.3989834815756,1879.0,1.5040368707585599,46900.472681067346,28228.701397712834,False,mChKD_2,mCherry RNAi,0.1285691926643331,-0.024647708501350674,-45.86390856270606,95,25000
7,14.02962085308057,427.3240521327014,358.3998815165877,2014.0,1.819387689248111,43213.919431279624,25241.107819905214,False,mChKD_2,mCherry RNAi,0.4635424148550793,0.002290405805210227,-51.288018646968766,95,25000
8,15.807736720554272,440.1714780600462,377.513856812933,2790.0,1.7104990503368644,47099.22575057737,36524.42609699769,False,mChKD_2,mCherry RNAi,0.40661213263829166,0.034599207435630275,-48.78295821332769,95,25000
9,15.79935064935065,465.14285714285717,382.72467532467533,1879.0,1.476516479098442,26326.007142857143,34440.98051948052,False,mChKD_2,mCherry RNAi,0.3939222600429171,0.09401603422866578,-48.788490983067234,95,25000
10,16.372340425531913,410.7672090112641,429.0425531914894,1982.0,1.5437428710802599,48479.52315394243,32055.026908635795,False,mChKD_2,mCherry RNAi,0.24390784534781318,-0.029357055862627268,-45.670156987584875,95,25000
11,17.086878370281607,449.31036548831634,368.19053325344515,2050.0,1.3904792829025894,42772.28879568604,31998.183942480526,False,mChKD_2,mCherry RNAi,0.4367567923242839,0.055197661082085236,-48.001116340080465,95,25000
12,17.330164765525982,448.44169835234476,395.8675538656527,1939.0,1.5119528849510413,42123.463244613435,34783.1299112801,False,mChKD_2,mCherry RNAi,0.35137189369024724,0.056032937875882816,-46.525221943005036,95,25000
13,16.87017543859649,682.8327485380117,410.3122807017544,1250.0,1.3918386905181392,40111.44210526316,30194.9216374269,False,mChKD_2,mCherry RNAi,0.33843233261904415,0.6101504032566778,-48.48344169639272,95,25000
14,19.555672268907564,395.78186274509807,562.5577731092437,3432.0,1.2967883368174855,46948.63410364146,32577.439075630253,True,mChKD_2,mCherry RNAi,-0.16917324487759444,-0.05074461706279776,-36.44425518896711,95,25000
15,18.330956625074272,402.5638740344623,401.01782531194294,2077.0,1.3486355018586893,47344.228758169935,31378.057040998217,False,mChKD_2,mCherry RNAi,0.329443036498388,-0.051580263493943956,-44.87903671114831,95,25000
