label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,bsh_num,x_std,y_std,z_std,r,theta,rotation
1,6.103761348897535,104.95157803718115,704.6964980544747,2855.0,1.3574458264203344,19657.45179420666,Vsx1i_1,Vsx1 NE RNAi,884,-0.6776687877249234,-0.9266007826420474,-22.303693487542702,1.1479651546320655,-2.2022537131911775,75
2,2.6043795620437957,139.47445255474452,745.3605839416058,1562.0,1.4875104979038267,12836.65109489051,Vsx1i_1,Vsx1 NE RNAi,884,-0.7924185943902606,-0.8578799711528567,-24.08312804020395,1.1678549882757974,-2.316548890472658,75
3,3.83256291730868,139.09655880842323,624.2747817154597,2242.0,1.4727226191132412,18166.357986646122,Vsx1i_1,Vsx1 NE RNAi,884,-0.4792173721721473,-0.8299374254804437,-26.737505997537678,0.9583555811934762,-2.0944427939771897,75
4,3.2968142968142966,173.97202797202797,575.7824397824398,1727.0,1.7059456337731849,7686.240093240093,Vsx1i_1,Vsx1 NE RNAi,884,-0.3633480013898567,-0.739251533825579,-28.405675416526215,0.8237199769202361,-2.027627241013856,75
5,3.015855039637599,186.48301245753115,716.7349943374859,2067.0,1.4418547902024135,23413.737825594562,Vsx1i_1,Vsx1 NE RNAi,884,-0.7311023332011761,-0.7444122163173476,-24.022343293030186,1.0433887911103459,-2.347174232051149,75
6,1.4558587479935794,196.1669341894061,579.1027287319422,855.0,1.8042606818294868,10460.722311396468,Vsx1i_1,Vsx1 NE RNAi,884,-0.3780914926617345,-0.6896457638451248,-29.871918993419094,0.7864886880386164,-2.072287396448999,75
7,2.4094025465230167,208.04407443682663,530.86777668952,1482.0,1.7267064508078946,7689.279138099902,Vsx1i_1,Vsx1 NE RNAi,884,-0.2565395225456323,-0.6512333190068156,-30.320417598804454,0.6999409706629365,-1.9460579292478075,75
8,1.7279735682819384,251.9691629955947,720.5187224669603,1091.0,1.8902597851391452,16724.482378854627,Vsx1i_1,Vsx1 NE RNAi,884,-0.7587039516603618,-0.5967005844858166,-24.39959732986051,0.9652374183540358,-2.4751541435699886,75
9,4.261435331230284,479.5843848580442,228.65102523659306,3118.0,1.4052857370972944,16324.672318611987,Vsx1i_1,Vsx1 NE RNAi,884,0.4513804525528089,0.036792449486395595,-34.876328433544835,0.4528774638751497,0.08133114567138007,75
10,7.63412852969815,474.49391431353456,205.28894839337877,6129.0,1.5852422444043153,25403.913096397275,Vsx1i_1,Vsx1 NE RNAi,884,0.5134358134340495,0.030737049898402535,-32.31499666151613,0.5143550337589212,0.059794055403886694,75
11,4.806032677000419,487.13154587348134,247.0971931294512,3480.0,1.6706307428214742,14972.820276497696,Vsx1i_1,Vsx1 NE RNAi,884,0.4017049686635559,0.049515022448660684,-33.65048680007056,0.4047451288120461,0.12264352696031271,75
12,4.184890656063618,516.2465208747515,216.04671968190854,1495.0,1.6463150728051568,8116.12226640159,Vsx1i_1,Vsx1 NE RNAi,884,0.47403958576313365,0.12298013927279672,-34.91487254363521,0.48973221614065765,0.2538341745605989,75
13,2.068946497517926,539.4098179812465,373.85052399338116,2235.0,1.7860106008608874,16669.96690568119,Vsx1i_1,Vsx1 NE RNAi,884,0.059687859891237594,0.13801414912466314,-31.697560574902646,0.15036803509057625,1.1626101977330137,75
14,2.229747675962815,546.4495351925631,239.10823373173972,1746.0,1.5336141056981774,11314.676626826029,Vsx1i_1,Vsx1 NE RNAi,884,0.406091665214231,0.1860590668391946,-35.766652931929244,0.44668603840901383,0.4296273911563993,75
15,1.0665083135391924,544.9477434679335,337.48218527315913,625.0,1.7674659777648831,6640.285035629454,Vsx1i_1,Vsx1 NE RNAi,884,0.15211198304206208,0.1592567703797212,-33.79726456397654,0.22022891339869027,0.8083405224423061,75
16,1.738621586475943,552.6163849154747,226.2704811443433,941.0,1.7599744841952902,8435.830949284786,Vsx1i_1,Vsx1 NE RNAi,884,0.43756577072628966,0.20311722328949378,-36.59429598303353,0.4824110385429898,0.43459818043217435,75
17,1.811554332874828,558.0811554332874,254.20013755158183,1725.0,1.7020763921167354,17488.478679504813,Vsx1i_1,Vsx1 NE RNAi,884,0.3638990929330419,0.20886666518748642,-35.56125215966879,0.4195805449064961,0.5210588352478135,75
18,3.270995670995671,564.6701298701299,345.6233766233766,1639.0,1.5015578842424362,8321.894372294373,Vsx1i_1,Vsx1 NE RNAi,884,0.12592389614196486,0.20202506835428546,-31.095842121061995,0.2380566232288572,1.0134144604237931,75
19,1.4813218390804597,575.1566091954023,361.63793103448273,905.0,1.5800756414675667,11299.377873563219,Vsx1i_1,Vsx1 NE RNAi,884,0.08153801498761393,0.22204176782230656,-32.24536686445684,0.23653962574117565,1.2188645097807733,75
20,2.0930232558139537,612.7420718816068,275.41649048625794,669.0,1.7601520097755883,6847.906976744186,Vsx1i_1,Vsx1 NE RNAi,884,0.2942987737056535,0.3278352890621954,-33.94224305058554,0.44055390698431524,0.8392516497223916,75
21,2.8187808896210873,632.3706754530477,236.26523887973642,958.0,1.587617087616138,7427.876441515651,Vsx1i_1,Vsx1 NE RNAi,884,0.390254457296654,0.3816778078393248,-34.234166552174955,0.5458722290398537,0.7742879961545501,75
22,3.291176470588235,642.7573529411765,209.91176470588235,1084.0,1.8671090344583179,6997.057352941177,Vsx1i_1,Vsx1 NE RNAi,884,0.4556069139894139,0.41150906968912304,-34.480815583520226,0.6139359693904282,0.7345861761459352,75
23,5.163114969744804,689.9060773480663,221.04130491975795,5322.0,1.6243147925358237,14685.541173375428,Vsx1i_1,Vsx1 NE RNAi,884,0.4142484031631606,0.5158024430902346,-31.6857347429769,0.6615541548664653,0.8941592035569266,75
24,3.071171171171171,687.990990990991,257.9189189189189,1518.0,1.5504620433998324,9303.40990990991,Vsx1i_1,Vsx1 NE RNAi,884,0.31926173082726717,0.5027197603378997,-32.61866040679038,0.5955293529331847,1.0049891327385332,75
25,2.7789275634995296,699.2126058325493,267.11382878645344,1540.0,1.7391593277141848,7351.233301975541,Vsx1i_1,Vsx1 NE RNAi,884,0.29243395515762094,0.5259983459959232,-32.48114949591998,0.6018237932481371,1.0633889427163412,75
26,4.736106131229832,712.9548225170312,240.80925062746505,3521.0,1.6373627722572353,15540.556830405163,Vsx1i_1,Vsx1 NE RNAi,884,0.35688034808272207,0.5634023539593069,-31.20190490331777,0.6669226306660564,1.0061523761716265,75
27,1.6879334257975034,759.9722607489598,537.1359223300971,1666.0,1.8815789181295997,23472.676144244106,Vsx1i_1,Vsx1 NE RNAi,884,-0.42206897193863435,0.5996043304854652,-24.193333035602468,0.7332581879599155,2.1841432937916103,75
